"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	
1421	1274	913	669	250	241	401	124	725	215	637	486	280	221	267	180	496	322	149	257	
1000	1000	750	550	250	200	350	100	550	170	550	350	240	170	200	140	400	250	120	180	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
830	679	462	296	133	83	175	56	384	66	225	114	165	54	114	57	310	165	85	87	
89	36	17	57	41	87	92	31	22	77	205	197	52	107	76	53	37	48	32	93	
81	285	271	197	76	30	83	13	144	27	120	39	23	9	10	30	53	37	3	0	
89	36	17	57	41	87	92	31	22	77	205	197	52	107	76	53	37	48	32	93	
830	679	462	296	133	83	175	56	384	66	225	114	165	54	114	57	310	165	85	87	
12	3	4	2	1	2	1	0	7	1	5	5	2	0	0	2	3	1	0	1	
907	712	475	351	173	168	266	87	399	142	425	306	215	161	190	108	344	212	117	179	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	1	3	1	2	2	1	0	3	0	1	5	1	1	2	0	1	1	1	5	
116	95	82	32	10	16	17	4	47	14	22	12	35	8	22	11	27	10	5	14	
42	42	40	27	14	7	7	3	30	13	27	23	28	12	14	10	22	12	12	16	
714	524	327	279	140	137	218	69	300	106	357	259	142	135	147	80	280	183	92	136	
10	12	8	4	0	2	3	3	3	1	8	0	3	2	3	1	2	3	4	3	
4	7	2	0	0	1	3	2	0	3	1	1	1	1	0	1	3	1	3	2	
2	4	1	0	1	0	0	1	1	0	1	3	1	1	0	0	4	1	0	3	
16	27	12	8	6	3	17	5	15	5	8	3	4	1	2	5	5	1	0	0	
