"УИК №2001"	"УИК №2002"	"УИК №2003"	"УИК №2004"	"УИК №2005"	"УИК №2006"	"УИК №2007"	"УИК №2008"	"УИК №2009"	"УИК №2010"	"УИК №2011"	"УИК №2012"	"УИК №2013"	"УИК №2014"	"УИК №2015"	"УИК №2016"	"УИК №2017"	"УИК №2018"	"УИК №2019"	"УИК №2020"	"УИК №2021"	"УИК №2022"	"УИК №2023"	"УИК №2024"	"УИК №2025"	"УИК №2026"	"УИК №2027"	"УИК №2028"	"УИК №2029"	"УИК №2030"	"УИК №2031"	"УИК №2032"	"УИК №2033"	"УИК №2034"	"УИК №2035"	"УИК №2036"	"УИК №2037"	"УИК №2038"	"УИК №2039"	"УИК №2040"	"УИК №2041"	"УИК №2042"	"УИК №2043"	"УИК №2044"	"УИК №2045"	"УИК №2046"	"УИК №2047"	"УИК №2048"	"УИК №2049"	"УИК №2050"	"УИК №2051"	"УИК №2052"	"УИК №2053"	"УИК №2054"	"УИК №2055"	"УИК №2056"	"УИК №2057"	"УИК №2058"	"УИК №2059"	"УИК №2060"	"УИК №2061"	"УИК №2062"	"УИК №2063"	"УИК №2064"	"УИК №2065"	"УИК №2066"	"УИК №2067"	"УИК №2068"	"УИК №2069"	"УИК №2070"	"УИК №2071"	"УИК №2072"	"УИК №2073"	"УИК №2074"	"УИК №2075"	"УИК №2076"	"УИК №2077"	"УИК №2078"	"УИК №2079"	"УИК №2080"	"УИК №2081"	"УИК №2082"	
2900	1552	2445	2514	2405	1984	2111	2208	2476	1841	1648	2033	2656	2184	2225	2256	1871	2107	2176	2377	2109	2601	1958	2442	1350	1176	974	2079	1847	1849	2138	1920	2399	1523	2281	2022	2410	2526	1797	2045	915	219	225	342	401	1250	2410	910	1420	2271	1612	1524	1510	2332	2307	1461	2244	2869	2875	2679	2721	1912	1630	2400	2693	2093	2043	1754	2425	2043	2148	2402	2506	2238	873	130	160	123	328	431	242	270	
2400	1300	2400	2500	2200	1900	2100	2200	2400	1800	1300	2000	2500	2200	2200	2100	1900	2000	2200	2100	2050	2500	1800	2400	1000	1000	900	2100	1900	1800	2100	1600	2200	1500	2030	1700	2300	2300	1500	2000	730	200	180	300	300	1000	2200	680	1100	2200	1400	1200	1200	2300	2300	1200	1900	2400	2900	2750	2700	1900	1300	2500	2600	2100	2000	1800	2500	2100	2200	2400	2400	2200	700	130	160	123	328	433	242	270	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2116	1084	1643	1714	1710	1402	1460	1426	1653	1266	1127	1347	1834	1389	1416	1567	1184	1422	1428	1665	1431	1766	1429	1718	869	743	589	1347	1230	1211	1439	1392	1612	1039	1986	1640	1708	1701	1328	1358	622	145	143	252	278	693	1665	650	910	1419	1043	930	891	1467	1456	931	1571	2109	1990	1805	1742	1288	1128	1566	1908	1461	1358	1147	1619	1407	1366	1618	1635	1495	573	130	134	122	321	358	164	73	
6	13	34	28	44	31	24	41	44	48	31	54	54	68	58	71	60	59	53	30	15	29	17	13	19	20	4	48	57	44	56	15	13	35	17	17	33	56	20	9	33	4	0	24	2	21	38	5	14	44	21	34	12	44	63	22	42	13	11	11	12	29	30	44	35	15	23	28	20	12	43	22	74	31	26	0	26	1	7	73	76	197	
278	203	723	758	446	467	616	733	703	486	142	599	612	743	726	462	656	519	719	405	604	705	354	669	112	237	307	705	613	545	605	193	575	426	27	43	559	543	152	633	75	51	37	24	20	286	497	25	176	737	336	236	297	789	781	247	287	278	897	934	946	583	142	890	657	624	619	625	861	681	791	760	691	674	101	0	0	0	0	2	2	0	
6	13	34	28	44	31	24	41	44	48	31	54	54	68	55	71	60	59	53	30	15	29	17	13	19	20	4	48	57	44	56	15	13	35	17	17	33	56	20	9	33	4	0	24	2	21	38	5	14	44	21	34	12	44	63	22	42	13	11	11	12	29	30	44	35	15	23	28	20	12	43	22	74	31	26	0	26	1	7	73	76	197	
2116	1084	1642	1714	1710	1398	1460	1424	1652	1266	1127	1347	1834	1389	1416	1567	1184	1422	1428	1663	1429	1766	1428	1718	869	743	589	1347	1228	1211	1439	1392	1612	1037	1984	1640	1708	1701	1327	1358	622	145	143	252	278	693	1665	650	910	1419	1043	930	891	1467	1456	931	1570	2109	1990	1805	1741	1287	1124	1566	1907	1461	1358	1147	1619	1407	1366	1618	1635	1495	573	130	134	122	321	358	164	73	
20	17	22	23	20	14	13	16	24	17	26	19	33	18	12	19	15	17	21	18	8	26	13	20	12	11	8	19	15	13	24	18	17	17	42	30	15	19	18	10	6	3	3	0	3	8	13	7	16	23	22	19	13	21	16	13	17	25	19	27	24	16	16	33	17	12	15	17	27	17	20	14	16	21	5	4	1	1	3	3	4	6	
2102	1080	1654	1719	1734	1415	1471	1449	1672	1297	1132	1382	1855	1439	1459	1619	1229	1464	1460	1675	1436	1769	1432	1711	876	752	585	1376	1270	1242	1471	1389	1608	1055	1959	1627	1726	1738	1329	1357	649	146	140	276	277	706	1690	648	908	1440	1042	945	890	1490	1503	940	1595	2097	1982	1789	1729	1300	1138	1577	1925	1464	1366	1158	1612	1402	1389	1626	1693	1505	594	126	159	122	325	428	236	264	
