"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	"УИК №582"	"УИК №583"	"УИК №584"	"УИК №585"	"УИК №586"	"УИК №587"	"УИК №588"	"УИК №589"	"УИК №590"	"УИК №591"	"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №596"	"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №1255"	
1250	842	867	1292	1069	1201	1035	1061	1211	787	1833	1413	1335	2017	1356	858	2097	1910	2958	938	945	1102	1276	1177	1340	1097	2233	2020	1417	1748	1922	1410	2090	853	1199	784	1485	670	1159	395	830	1096	824	1839	1532	1063	1319	319	487	662	208	492	314	596	151	172	235	233	130	312	251	127	920	274	180	172	218	697	118	374	386	690	128	208	584	1420	478	206	145	588	1720	426	382	113	165	913	670	523	144	691	376	565	256	
1200	850	900	1300	1000	1200	1000	1000	1200	800	1800	1400	1300	2000	1300	900	2000	1800	2600	900	950	1100	1300	1100	1300	1100	2000	2000	1400	1700	1900	1400	2000	850	1200	770	1500	670	1100	412	870	1100	840	1700	1500	1000	1300	341	500	670	209	490	324	615	168	175	283	243	156	316	299	130	950	291	192	183	247	745	121	389	435	730	151	236	641	1500	540	218	145	660	1700	463	407	128	172	920	700	537	153	730	405	580	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
788	559	498	783	650	703	640	618	794	463	1103	826	848	1184	885	591	1349	1285	1961	659	633	694	846	783	833	677	1502	1418	980	1152	1295	1016	1491	476	633	525	986	410	746	198	475	595	391	1059	1060	685	909	192	421	515	113	248	246	490	38	97	186	168	98	226	179	76	533	157	106	135	145	499	84	285	258	554	46	168	451	1078	382	148	116	479	1199	243	274	69	113	541	496	312	108	506	248	376	256	
48	85	57	81	35	99	42	106	64	51	88	56	95	62	59	119	107	47	43	17	23	88	64	10	44	66	34	32	19	16	25	9	14	59	136	19	59	67	58	81	46	70	140	135	54	45	50	67	57	62	86	95	58	74	108	58	30	59	28	40	58	48	122	90	57	26	55	46	26	63	83	95	76	32	92	138	56	53	28	109	39	118	70	22	23	89	124	81	31	146	107	127	0	
364	206	345	436	315	398	318	276	342	286	609	518	357	754	356	190	544	468	596	224	294	318	390	307	423	357	464	550	401	532	580	375	495	315	431	226	455	193	296	133	349	435	309	506	386	270	341	82	22	93	10	147	20	51	22	20	67	16	30	50	62	6	295	44	29	22	47	200	11	41	94	81	29	36	98	284	102	17	1	72	462	102	63	37	36	290	80	144	14	78	50	77	44	
48	85	57	81	35	99	42	106	64	51	88	56	95	62	59	119	107	47	43	17	23	88	64	10	44	66	34	32	19	16	25	9	14	59	136	19	59	67	58	81	46	70	140	135	54	45	50	67	57	62	86	95	58	74	108	58	30	59	28	40	58	48	122	90	57	26	55	46	26	63	83	95	76	32	92	138	56	53	28	109	39	118	70	22	23	89	124	81	31	146	107	127	0	
788	559	498	783	650	703	640	618	794	463	1103	826	848	1184	885	591	1349	1285	1961	659	633	694	846	783	833	677	1502	1418	980	1152	1295	1016	1491	476	633	525	986	410	746	198	475	594	391	1059	1060	685	909	192	421	515	113	248	246	490	38	97	186	168	98	226	179	76	533	157	106	135	145	499	84	285	258	554	46	168	451	1078	382	148	116	479	1199	243	274	69	113	541	496	312	108	506	248	376	256	
10	4	8	11	10	13	7	12	7	7	16	10	11	13	12	5	20	14	25	7	3	11	13	14	9	6	19	22	15	14	14	8	17	8	6	9	17	2	11	0	5	4	2	10	13	8	21	4	2	4	1	1	2	3	0	1	0	0	0	2	2	1	7	0	1	4	4	3	0	0	2	1	0	0	1	10	4	2	1	3	17	0	1	1	3	6	2	2	0	0	1	0	2	
826	640	547	853	675	789	675	712	851	507	1175	872	932	1233	932	705	1436	1318	1979	669	653	771	897	779	868	737	1517	1428	984	1154	1306	1017	1488	527	763	535	1028	475	793	279	516	660	529	1184	1101	722	938	255	476	573	198	342	302	561	146	154	216	227	126	264	235	123	648	247	162	157	196	542	110	348	339	648	122	200	542	1206	434	199	143	585	1221	361	343	90	133	624	618	391	139	652	354	503	254	
