"УИК №1717"	"УИК №1718"	"УИК №1720"	"УИК №1721"	"УИК №1722"	"УИК №1723"	"УИК №1724"	"УИК №1725"	"УИК №1726"	"УИК №1727"	"УИК №1728"	"УИК №1729"	"УИК №1730"	"УИК №1731"	"УИК №1732"	"УИК №1733"	"УИК №1734"	"УИК №1735"	"УИК №1736"	"УИК №1737"	
503	163	845	248	721	132	371	437	50	91	1758	1654	215	564	124	146	187	520	153	606	
430	150	720	210	620	120	320	370	50	70	1480	1420	180	480	100	130	160	440	150	520	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
304	113	459	169	419	79	226	235	41	50	918	1052	129	393	86	77	101	291	85	367	
69	17	34	4	37	17	43	19	0	10	93	68	10	59	9	2	18	47	16	51	
57	20	227	37	164	24	51	116	9	10	469	300	41	28	5	51	41	102	49	102	
69	17	34	4	37	17	43	19	0	10	93	68	10	59	9	2	18	47	16	51	
304	113	459	169	419	79	226	235	41	50	917	1052	129	393	86	77	101	291	85	367	
3	1	6	1	3	3	0	2	2	0	3	5	0	0	0	0	2	3	1	3	
370	129	487	172	453	93	269	252	39	60	1007	1115	139	452	95	79	117	335	100	415	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	2	1	4	0	1	0	0	0	5	3	1	0	0	0	0	0	0	2	
47	26	187	41	130	18	39	60	7	15	373	405	26	117	9	22	15	101	20	56	
25	10	24	11	43	10	18	13	0	6	60	54	6	31	11	11	22	17	3	49	
290	91	266	116	264	60	207	173	32	35	558	643	104	296	75	46	79	214	74	305	
3	0	3	0	2	2	1	2	0	3	3	4	1	2	0	0	0	1	2	2	
3	0	3	1	7	3	1	4	0	0	3	2	1	4	0	0	0	2	0	1	
1	0	0	1	2	0	1	0	0	0	3	2	0	1	0	0	1	0	1	0	
1	1	2	1	1	0	1	0	0	1	2	2	0	1	0	0	0	0	0	0	
