"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	"УИК №742"	
2029	2117	2018	1174	1558	2180	1324	2458	2232	2176	2433	1395	1244	2420	1461	1516	2053	1989	1931	1900	2155	1523	1869	1550	1752	1916	1288	2479	1220	1228	1935	1652	2104	1752	2115	146	2820	888	1678	134	88	119	
2000	2100	2000	1200	1600	2100	1300	2400	2300	2200	2500	1400	1200	2400	1400	1500	2000	2000	1900	1900	1900	1500	1900	1500	1800	1900	1300	2500	1200	1200	1900	1700	2100	1800	2100	145	2700	900	1700	135	82	120	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1299	1257	1160	698	833	1312	791	1532	1298	1366	1353	875	722	1484	837	916	1150	1199	1175	1142	1649	974	1206	914	1099	1229	789	1583	808	811	1288	1077	1430	979	1191	133	1562	466	906	63	0	119	
14	25	27	9	17	39	19	17	37	24	56	42	12	32	33	42	28	26	30	26	11	27	34	15	40	20	15	16	8	5	21	9	19	19	27	10	22	10	16	70	73	0	
687	818	813	493	750	749	490	851	965	810	1091	483	466	884	530	542	822	775	695	732	240	499	660	571	661	651	496	901	384	384	591	614	651	802	882	2	1116	424	778	2	9	1	
14	25	27	9	17	39	19	17	37	24	56	42	12	32	33	42	28	26	30	26	11	27	34	15	40	20	15	16	8	5	21	9	19	19	27	10	22	10	16	70	73	0	
1299	1251	1160	698	833	1311	790	1531	1298	1366	1353	874	722	1484	837	916	1150	1199	1175	1142	1649	973	1205	914	1098	1229	789	1583	808	811	1288	1077	1430	978	1191	133	1562	466	906	63	0	119	
32	38	15	11	8	22	16	27	21	28	22	11	12	30	24	16	21	29	13	17	24	20	23	13	14	13	6	23	16	10	18	21	15	13	18	5	43	6	14	0	1	2	
1281	1238	1172	696	842	1328	793	1521	1314	1362	1387	905	722	1486	846	942	1157	1196	1192	1151	1636	980	1216	916	1124	1236	798	1576	800	806	1291	1065	1434	984	1200	138	1541	470	908	133	72	117	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	8	7	0	4	13	4	8	9	9	12	5	2	14	4	7	9	4	10	14	16	8	13	12	5	9	3	13	2	4	8	3	11	10	6	2	14	4	6	0	0	0	
218	208	146	112	106	207	139	221	195	164	228	138	124	269	111	147	166	197	209	187	219	124	199	128	202	203	117	239	142	125	192	196	203	163	175	8	233	70	121	8	6	3	
107	106	96	44	55	98	64	106	85	101	88	61	54	106	63	65	103	93	82	105	105	48	80	75	82	102	46	116	50	57	84	78	95	90	98	16	146	34	85	13	10	49	
899	870	874	509	646	960	562	1115	966	1028	985	643	508	1047	633	673	846	852	843	790	1221	760	872	659	783	869	603	1143	572	590	949	742	1040	692	871	102	1088	336	668	109	52	57	
28	19	16	12	14	23	13	32	24	29	35	20	17	23	15	21	14	25	17	22	36	20	15	14	19	23	13	22	12	9	31	27	41	12	16	7	24	10	12	1	2	6	
11	13	11	6	11	3	3	12	8	10	7	10	6	10	6	12	8	7	6	10	13	5	9	9	4	8	5	11	8	9	9	7	18	6	13	0	18	10	6	0	1	1	
10	8	11	5	4	15	5	11	14	10	14	18	7	11	6	6	8	9	11	11	10	7	16	9	14	12	9	10	8	3	9	1	10	9	13	1	10	5	6	1	0	1	
3	6	11	8	2	9	3	16	13	11	18	10	4	6	8	11	3	9	14	12	16	8	12	10	15	10	2	22	6	9	9	11	16	2	8	2	8	1	4	1	1	0	
