"УИК №477"	"УИК №478"	"УИК №479"	"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	"УИК №485"	"УИК №486"	"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №680"	
103	764	683	237	151	375	153	337	172	518	272	469	1849	887	190	758	1514	599	81	239	249	66	365	43	
100	750	710	200	150	350	150	331	150	500	250	490	1700	850	170	750	1500	550	80	250	240	65	350	70	
26	0	20	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	10	0	0	21	0	
46	435	301	103	80	199	72	172	92	263	124	199	893	442	123	449	989	269	33	112	83	30	146	41	
0	43	15	18	7	16	6	25	10	12	41	17	72	47	21	24	44	47	6	18	3	0	15	0	
28	272	374	79	63	135	72	132	48	218	85	274	735	361	26	277	467	234	41	110	154	35	168	29	
26	43	35	18	7	16	6	27	10	19	41	17	72	47	21	24	44	47	6	28	3	0	36	0	
46	435	301	103	80	199	72	172	92	263	124	199	892	442	123	449	988	269	33	112	83	30	146	41	
0	8	2	2	0	2	0	1	0	4	2	4	17	6	1	7	10	7	1	1	0	0	6	0	
72	470	334	119	87	213	78	198	102	278	163	212	947	483	143	466	1022	309	38	139	86	30	176	41	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	5	3	3	0	1	1	0	0	3	2	2	8	1	0	1	11	3	1	1	0	0	1	0	
6	67	43	17	5	31	1	6	3	24	20	20	119	53	12	52	149	18	4	8	3	4	20	4	
11	40	37	10	13	22	4	18	19	39	21	33	140	59	22	47	85	33	4	17	11	8	26	4	
54	340	235	82	63	147	71	161	78	200	111	148	650	357	104	348	741	248	29	108	70	17	122	30	
0	6	7	3	2	2	0	5	2	4	3	3	13	4	2	10	17	4	0	1	0	1	4	1	
1	7	6	2	2	8	0	4	0	5	1	3	6	3	3	2	7	1	0	2	0	0	2	2	
0	1	2	2	2	1	1	4	0	2	2	1	7	3	0	3	5	0	0	1	0	0	1	0	
0	4	1	0	0	1	0	0	0	1	3	2	4	3	0	3	7	2	0	1	2	0	0	0	
