"УИК №1301"	"УИК №1302"	"УИК №1303"	"УИК №1304"	"УИК №1305"	"УИК №1306"	"УИК №1307"	"УИК №1308"	"УИК №1309"	"УИК №1310"	"УИК №1311"	"УИК №1312"	"УИК №1313"	"УИК №1314"	
561	1209	1396	1508	1491	297	1153	1245	1557	2892	2867	2895	3397	2666	
570	1270	1400	1500	1580	300	1250	1250	1650	2900	2900	2900	3450	3000	
0	259	0	0	984	0	221	352	985	1000	921	927	1103	1022	
528	694	1065	1160	227	272	910	876	545	1891	1941	1964	2281	1632	
33	15	33	27	23	21	21	6	19	0	0	0	0	0	
9	302	302	313	346	7	98	16	101	9	38	9	66	346	
33	274	33	27	1007	21	242	358	1004	1000	921	927	1103	1022	
528	693	1065	1133	227	272	910	876	545	1891	1941	1964	2281	1632	
7	16	4	19	16	0	3	3	10	0	0	0	0	0	
554	951	1094	1141	1218	293	1149	1231	1539	2891	2862	2891	3384	2654	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	2	1	2	1	0	2	1	1	0	0	1	0	0	
6	131	28	169	113	3	32	9	102	3	3	3	7	3	
4	45	4	114	52	2	17	17	35	10	5	6	24	7	
535	750	1057	820	1031	288	1095	1197	1391	2878	2853	2876	3353	2643	
2	8	1	19	6	0	2	2	5	0	1	2	0	1	
1	4	1	8	3	0	0	1	1	0	0	1	0	0	
3	5	0	5	6	0	1	3	1	0	0	1	0	0	
2	6	2	4	6	0	0	1	3	0	0	1	0	0	
