"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	
1167	573	1126	318	412	363	182	276	443	343	364	182	576	722	326	513	265	173	
669	546	1191	296	375	378	186	269	421	347	388	198	566	609	250	493	259	174	
0	232	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
566	260	772	224	344	313	161	246	383	298	316	164	397	578	232	346	203	158	
67	17	45	14	7	45	13	6	17	30	13	7	20	25	13	16	18	6	
36	37	310	58	24	20	12	17	21	19	59	27	149	6	5	131	38	10	
67	249	109	14	7	45	13	6	17	30	13	7	20	25	13	16	18	6	
566	260	772	224	344	313	161	246	383	298	316	164	397	578	232	346	203	158	
7	11	7	4	3	5	2	7	6	2	4	2	5	5	2	4	0	3	
626	498	874	234	348	353	172	245	394	326	325	169	412	598	243	358	221	161	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	1	4	3	0	1	0	0	2	1	6	4	3	3	0	1	0	1	
99	86	110	23	45	52	14	29	52	33	44	16	87	125	42	61	11	31	
66	45	92	18	33	28	13	28	44	35	47	15	46	62	32	43	11	29	
449	353	653	184	262	269	144	187	290	249	219	130	268	395	164	249	194	99	
1	5	3	2	2	0	0	0	3	2	5	1	2	4	1	1	2	0	
4	3	5	1	3	2	0	1	1	3	3	3	5	5	3	3	3	1	
2	3	3	0	2	1	0	0	1	2	0	0	1	3	1	0	0	0	
1	2	4	3	1	0	1	0	1	1	1	0	0	1	0	0	0	0	
