"УИК №2273"	"УИК №2274"	"УИК №2275"	"УИК №2276"	"УИК №2277"	"УИК №2278"	"УИК №2279"	"УИК №2280"	"УИК №2281"	"УИК №2282"	"УИК №2283"	"УИК №2284"	"УИК №2285"	"УИК №2286"	"УИК №2287"	"УИК №2288"	"УИК №2289"	"УИК №2290"	"УИК №2291"	"УИК №2292"	"УИК №2293"	"УИК №2295"	"УИК №2296"	"УИК №2297"	"УИК №2298"	"УИК №2299"	"УИК №2300"	"УИК №2301"	"УИК №2302"	"УИК №2304"	"УИК №2306"	"УИК №2307"	"УИК №2308"	"УИК №2309"	"УИК №2310"	"УИК №2311"	"УИК №2312"	"УИК №2313"	"УИК №2314"	"УИК №2315"	"УИК №2316"	"УИК №2317"	"УИК №2318"	"УИК №2319"	"УИК №2320"	
970	212	371	756	108	694	336	407	105	228	360	300	263	381	532	303	1191	1737	1062	825	1421	984	600	346	738	198	366	236	256	607	454	223	169	521	85	768	730	243	167	238	233	151	178	679	250	
1058	218	376	735	111	720	344	433	111	242	363	303	272	381	530	310	1218	1768	1092	802	1476	989	624	352	769	207	374	251	266	621	475	227	174	540	84	759	746	250	175	256	245	162	191	707	257	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
572	149	172	384	76	361	168	215	61	134	203	179	180	145	267	152	610	969	486	425	733	540	244	142	420	122	253	187	164	399	224	154	95	330	28	416	485	90	87	90	129	86	119	316	71	
57	20	86	80	22	46	46	27	7	18	61	24	12	82	30	26	46	59	53	70	49	42	129	42	82	16	25	15	27	76	100	37	15	47	37	110	68	62	41	31	26	23	6	123	54	
429	49	118	271	13	313	130	191	43	90	99	100	80	154	233	132	562	740	553	307	694	407	251	168	267	69	96	49	75	146	151	36	64	163	19	233	193	98	47	135	90	53	66	268	132	
57	20	86	80	22	46	46	27	7	18	61	24	12	82	30	26	46	59	53	70	49	42	129	42	82	16	25	15	27	76	100	37	15	47	37	110	68	62	41	31	26	23	6	123	54	
572	149	172	384	76	361	168	215	61	134	203	179	180	145	267	152	610	969	486	425	733	540	244	142	420	122	253	187	164	399	224	154	95	330	28	416	485	90	87	90	129	86	119	316	71	
4	1	1	2	1	3	2	1	0	1	0	0	0	3	4	1	9	11	4	15	11	2	2	2	2	0	1	0	3	2	1	0	1	1	0	6	3	2	1	0	1	0	0	3	1	
625	168	257	462	97	404	212	241	68	151	264	203	192	224	293	177	647	1017	535	480	771	580	371	182	500	138	277	202	188	473	323	191	109	376	65	520	550	150	127	121	154	109	125	436	124	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	0	0	0	3	0	3	0	1	1	0	0	0	2	0	3	4	5	2	2	3	2	0	0	0	2	1	1	1	2	0	0	0	0	1	2	0	0	0	0	0	0	2	0	
36	7	16	50	8	46	27	32	7	9	15	14	14	7	33	11	70	132	47	35	80	75	31	21	45	11	11	6	11	32	11	6	13	27	0	15	19	3	4	8	10	0	9	27	9	
44	10	13	22	4	21	15	19	7	19	18	20	11	18	22	11	55	68	44	20	50	40	25	13	38	8	8	3	7	21	22	12	6	23	1	27	21	12	11	7	6	8	1	26	11	
536	147	223	377	85	327	169	184	54	122	221	163	166	190	227	151	497	796	427	417	615	451	301	147	408	118	255	191	165	407	283	169	90	324	64	469	503	133	111	103	137	100	113	378	102	
2	1	1	2	0	2	1	2	0	0	2	2	0	6	2	1	7	4	1	2	5	0	4	0	2	0	1	1	1	1	0	4	0	1	0	3	0	1	1	2	0	0	1	1	1	
4	1	1	8	0	4	0	1	0	0	6	3	1	1	2	1	8	4	3	2	10	4	3	0	4	1	0	0	3	4	2	0	0	0	0	5	2	0	0	0	0	0	1	2	1	
0	1	2	1	0	1	0	0	0	0	1	0	0	2	2	1	4	5	5	0	4	3	4	1	2	0	0	0	0	4	3	0	0	1	0	0	2	0	0	0	1	0	0	0	0	
1	1	1	2	0	0	0	0	0	0	0	1	0	0	3	1	3	4	3	2	5	4	1	0	1	0	0	0	0	3	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	
