"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	"УИК №626"	"УИК №627"	"УИК №628"	"УИК №629"	"УИК №630"	"УИК №631"	"УИК №632"	"УИК №633"	"УИК №634"	"УИК №635"	"УИК №636"	"УИК №637"	"УИК №638"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №643"	"УИК №644"	"УИК №645"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	"УИК №654"	"УИК №680"	"УИК №681"	"УИК №682"	
2228	1871	2438	2078	1845	1984	2313	1846	2495	2763	2525	2047	2263	1751	1644	2504	1662	2339	2553	1912	2287	1964	1629	1477	1821	1650	2611	1396	2578	2158	2266	2141	1644	2146	1739	2232	1991	1511	2234	2373	2254	2209	2274	2554	1741	2118	2285	1033	2527	2327	1971	1649	1525	1736	146	185	147	
2200	1700	2400	1800	1800	1900	2200	1550	2300	2700	2500	1800	2200	1700	1600	2500	1600	2300	2400	1900	2000	1850	1600	1250	1800	1400	2500	1300	2500	2100	2000	1900	1500	1750	1700	2000	2000	1500	2100	2300	2000	2000	2300	2500	1700	2000	2100	1000	2400	2300	1800	1400	1500	1600	142	200	147	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	
1247	873	1208	1094	925	1114	1240	1168	1450	1685	1296	1194	1241	763	892	1323	911	1216	1318	1143	1294	1095	893	896	991	816	1333	794	1433	974	1205	1151	898	1428	988	1191	921	903	1184	1273	1134	881	1106	1242	922	1240	1252	407	1335	1169	1213	1244	910	961	141	184	147	
12	19	22	19	14	32	19	9	10	24	24	26	20	16	25	27	26	18	30	22	37	30	11	12	9	9	28	9	45	16	16	26	40	9	10	7	14	5	26	17	22	13	24	28	12	18	16	57	17	11	6	20	8	15	0	0	0	
941	808	1170	687	861	754	941	373	840	991	1180	580	939	921	683	1150	663	1066	1052	735	669	725	696	342	800	575	1139	497	1022	1110	779	723	562	313	702	802	1065	592	890	1010	844	1106	1170	1230	766	742	832	529	1048	1120	581	136	582	624	1	16	0	
12	19	22	19	14	32	19	9	10	24	24	26	20	16	25	27	26	18	30	22	37	30	11	12	9	9	28	9	45	16	16	26	40	9	10	7	14	5	26	17	22	13	24	28	12	18	16	64	17	11	6	20	8	15	0	0	0	
1247	871	1208	1094	925	1112	1231	1168	1450	1685	1296	1194	1241	763	892	1322	911	1212	1318	1143	1294	1095	893	896	991	815	1333	794	1432	973	1205	1151	897	1428	988	1191	921	903	1184	1273	1134	881	1106	1242	922	1237	1252	407	1335	1169	1213	1244	910	961	141	184	147	
15	14	17	14	11	17	18	23	19	17	14	23	23	10	15	10	14	12	17	4	19	16	9	7	15	9	18	10	22	15	21	14	11	24	20	20	12	10	19	15	21	13	10	13	10	14	13	0	17	15	21	14	6	9	0	2	0	
1244	876	1213	1099	928	1127	1232	1154	1441	1692	1306	1197	1238	769	902	1339	923	1218	1331	1161	1312	1109	895	901	985	815	1343	793	1455	974	1200	1163	926	1413	978	1178	923	898	1191	1275	1135	881	1120	1257	924	1241	1255	471	1335	1165	1198	1250	912	967	141	182	147	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

