"УИК №655"	"УИК №657"	"УИК №658"	"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	"УИК №665"	"УИК №666"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	"УИК №678"	"УИК №679"	"УИК №680"	"УИК №681"	"УИК №682"	"УИК №683"	"УИК №684"	"УИК №685"	"УИК №1742"	
2287	1389	2083	2460	2638	1484	1406	1755	2242	1793	2381	2176	1700	1673	2021	1322	3016	2506	749	1983	819	2376	2625	2338	2152	2196	2406	2429	2052	893	2751	
2100	1300	1900	2250	2450	1350	1300	1550	2050	1650	2150	2050	1550	1550	1900	1200	2600	2200	700	1850	750	2200	2400	2150	2000	2050	2200	2300	1900	850	2500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1057	707	1467	1461	1363	1252	1037	1296	1793	1200	1829	1769	1485	1431	1813	1161	2517	2106	683	1785	725	1364	1497	2052	1947	1332	1436	1469	1253	757	1362	
78	49	96	78	74	36	116	101	75	38	83	68	45	42	85	36	79	51	14	64	21	57	50	96	50	31	44	36	21	60	57	
965	544	337	711	1013	62	147	153	182	412	238	213	20	77	2	3	4	43	3	1	4	779	853	2	3	687	720	795	626	33	1081	
78	49	96	78	74	36	116	101	75	38	83	68	45	42	85	36	79	51	14	64	21	57	50	96	50	31	44	36	21	60	57	
1057	707	1466	1461	1363	1251	1036	1296	1793	1199	1829	1769	1485	1428	1813	1161	2517	2106	683	1785	725	1364	1497	2052	1947	1332	1435	1469	1253	757	1362	
11	14	2	5	20	5	6	7	5	7	5	4	5	5	3	2	7	5	0	0	1	37	30	0	2	30	25	24	9	0	15	
1124	742	1560	1534	1417	1282	1146	1390	1863	1230	1907	1833	1525	1465	1895	1195	2589	2152	697	1849	745	1384	1517	2148	1995	1333	1454	1481	1265	817	1404	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

15	5	2	22	10	4	2	4	1	3	4	3	4	2	6	0	5	7	0	3	1	15	9	4	10	8	11	12	10	1	42	
81	105	79	171	198	43	36	62	10	60	12	87	80	51	99	20	159	20	9	19	5	210	195	23	54	182	215	234	102	12	65	
115	89	141	205	142	125	96	70	174	113	142	175	165	161	212	112	284	237	65	177	69	149	196	171	198	110	154	142	144	92	141	
882	512	1306	1078	1016	1098	987	1241	1668	1034	1727	1558	1249	1231	1510	1052	2106	1872	615	1631	669	948	1052	1922	1678	996	1027	1008	957	709	1053	
13	9	9	26	15	4	6	2	4	5	4	2	9	4	8	1	12	4	0	2	1	23	38	3	23	15	17	33	25	0	35	
3	6	11	12	16	6	2	0	2	3	10	2	2	2	6	2	11	6	1	2	0	12	10	4	9	5	9	13	4	2	22	
9	11	6	13	9	1	6	0	2	6	4	2	6	8	18	2	6	1	0	3	0	12	7	6	9	9	14	24	6	1	20	
6	5	6	7	11	1	11	11	2	6	4	4	10	6	36	6	6	5	7	12	0	15	10	15	14	8	7	15	17	0	26	
