"УИК №2001"	"УИК №2002"	"УИК №2003"	"УИК №2004"	"УИК №2005"	"УИК №2006"	"УИК №2007"	"УИК №2008"	"УИК №2009"	"УИК №2010"	"УИК №2011"	"УИК №2012"	"УИК №2013"	"УИК №2014"	"УИК №2015"	"УИК №2016"	"УИК №2017"	"УИК №2018"	"УИК №2019"	"УИК №2020"	"УИК №2021"	"УИК №2022"	"УИК №2023"	"УИК №2024"	"УИК №2025"	"УИК №2026"	"УИК №2027"	"УИК №2028"	"УИК №2029"	"УИК №2030"	"УИК №2031"	"УИК №2032"	"УИК №2033"	"УИК №2034"	"УИК №2035"	"УИК №2036"	"УИК №2037"	"УИК №2038"	
92	532	154	171	465	118	625	120	263	94	101	368	81	408	707	2463	2615	471	105	48	211	220	234	190	68	324	115	477	245	101	69	151	396	49	257	736	258	117	
89	530	145	165	460	110	644	125	260	90	100	360	80	390	700	2250	2350	460	100	48	212	220	230	180	63	320	110	470	245	100	61	150	400	49	255	730	250	115	
0	7	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	
56	290	92	112	260	92	338	85	187	70	81	189	52	232	399	1289	1306	279	69	30	125	161	148	125	53	206	82	280	154	72	41	105	255	34	126	374	131	77	
18	53	19	15	37	6	18	12	30	8	7	16	17	33	64	67	88	47	9	5	32	14	24	12	5	30	5	26	21	15	5	16	55	4	7	99	42	10	
15	180	34	38	163	12	186	28	43	12	12	155	11	125	237	894	956	134	22	13	55	45	58	43	5	84	23	164	70	13	15	29	90	11	73	257	77	28	
18	60	19	15	37	6	120	12	30	8	7	16	17	33	64	67	88	47	9	5	32	14	24	12	5	30	5	26	21	15	5	16	55	4	56	99	42	10	
56	290	92	112	260	92	338	85	187	70	81	189	52	232	399	1289	1306	279	69	30	125	161	148	125	53	206	82	280	154	72	41	105	255	34	126	374	131	77	
0	4	0	2	1	0	8	4	1	2	0	6	0	6	3	9	17	0	2	0	1	1	1	0	0	1	0	4	2	2	0	0	3	1	3	4	1	1	
74	346	111	125	296	98	450	93	216	76	88	199	69	259	460	1347	1377	326	76	35	156	174	171	137	58	235	87	302	173	85	46	121	307	37	179	469	172	86	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	5	1	0	3	1	5	0	0	0	2	1	0	3	7	4	18	2	1	0	2	0	1	5	0	1	0	3	1	0	2	0	5	0	2	5	0	0	
3	26	10	12	20	6	35	6	13	1	8	10	12	20	62	222	215	29	6	3	10	19	14	11	6	11	3	26	19	8	9	11	18	2	8	42	36	9	
4	25	10	6	14	10	62	20	17	15	12	21	2	39	47	107	158	33	12	2	22	15	14	13	15	17	2	19	39	25	6	10	47	6	25	57	19	16	
63	288	89	104	256	80	342	67	185	60	63	165	55	193	336	984	961	249	56	30	122	140	138	104	37	205	79	248	111	49	26	100	225	28	138	360	115	57	
1	1	0	1	2	1	2	0	1	0	0	0	0	0	2	10	6	0	1	0	0	0	3	4	0	1	3	2	1	1	2	0	6	0	2	4	0	4	
2	0	0	1	1	0	3	0	0	0	2	2	0	1	3	10	9	11	0	0	0	0	1	0	0	0	0	3	2	2	1	0	3	1	2	0	1	0	
0	1	1	0	0	0	1	0	0	0	0	0	0	3	1	9	5	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	
0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	
