"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	
1921	319	135	313	689	280	2387	1005	2151	1575	523	489	364	1940	360	561	235	220	1530	1864	931	2377	1601	826	437	976	622	573	316	325	2486	2335	2718	2280	491	349	2166	1919	369	657	1425	909	521	209	552	625	
2000	300	130	400	700	250	2000	900	2000	1450	500	500	300	2000	330	520	220	200	1600	1500	900	2100	1500	1000	400	900	600	500	300	300	2000	2000	2500	2000	500	300	2200	1950	350	600	1000	900	500	200	500	700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
623	189	104	259	458	234	1702	528	1593	1281	400	369	269	1410	266	436	173	177	1331	1365	833	1913	1202	646	354	651	465	405	213	227	1679	1829	1814	1671	343	251	1904	1654	297	398	881	566	426	150	400	505	
576	33	16	54	58	10	65	352	64	162	59	41	22	164	42	69	33	17	199	135	52	143	113	78	16	34	31	75	28	29	18	35	88	160	69	6	98	207	17	128	86	49	59	37	41	38	
801	78	10	87	184	6	233	20	343	7	41	90	9	426	22	15	14	6	70	0	15	44	185	276	30	215	104	20	59	44	303	136	598	169	88	43	198	89	36	74	33	285	15	13	59	157	
576	33	16	54	58	10	65	352	64	162	59	41	22	164	42	69	33	17	199	135	52	143	113	78	16	34	31	75	28	29	18	35	88	160	69	6	98	207	17	128	86	49	59	37	41	38	
623	189	104	259	458	234	1702	528	1593	1281	400	369	269	1410	266	436	173	177	1331	1365	833	1913	1202	646	354	651	465	405	213	227	1679	1829	1814	1671	343	251	1904	1654	297	398	881	566	426	150	400	505	
6	3	1	5	8	2	18	36	21	10	9	3	1	15	2	2	3	0	0	7	5	34	9	2	1	3	4	8	5	2	23	20	20	6	3	3	42	3	0	9	15	8	3	2	5	5	
1193	219	119	308	508	242	1749	844	1636	1433	450	407	290	1559	306	503	203	194	1530	1493	880	2022	1306	722	369	682	492	472	236	254	1674	1844	1882	1825	409	254	1960	1858	314	517	952	607	482	185	436	538	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	0	0	4	5	0	14	3	10	2	3	4	3	10	0	1	2	1	6	2	0	9	5	5	0	5	2	0	2	0	14	12	5	11	1	2	10	10	2	7	12	3	2	0	5	3	
84	23	6	19	47	8	179	32	132	45	35	37	22	102	13	29	9	10	46	79	36	183	121	50	8	33	27	24	10	10	202	61	160	64	26	33	177	55	12	20	112	57	28	9	39	34	
21	15	9	20	37	28	113	44	104	154	30	26	26	91	29	40	15	8	61	161	89	122	95	46	34	53	43	26	24	25	90	71	71	170	42	12	107	148	31	38	78	38	29	18	18	18	
1062	174	102	264	407	197	1400	754	1354	1197	379	333	230	1312	251	419	175	173	1376	1203	708	1620	1068	614	323	570	408	397	193	207	1318	1654	1600	1517	330	195	1615	1572	251	427	717	495	415	149	362	475	
4	1	1	1	3	0	17	0	8	3	1	2	4	16	3	1	1	1	6	3	20	31	9	2	2	5	2	7	0	1	17	8	21	9	3	4	13	28	2	5	14	6	5	5	5	3	
7	4	0	0	1	1	7	3	11	5	1	2	2	8	0	1	0	1	5	5	0	8	3	2	1	7	2	8	0	3	10	15	8	25	4	1	25	7	2	3	10	2	2	1	3	2	
6	0	0	0	7	8	12	6	13	22	1	2	1	15	10	12	0	0	26	38	27	35	2	3	1	5	7	10	7	8	18	12	13	25	1	4	9	30	9	12	9	4	1	2	3	2	
2	2	1	0	1	0	7	2	4	5	0	1	2	5	0	0	1	0	4	2	0	14	3	0	0	4	1	0	0	0	5	11	4	4	2	3	4	8	5	5	0	2	0	1	1	1	
