"УИК №898"	"УИК №899"	"УИК №900"	"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	"УИК №919"	"УИК №920"	"УИК №921"	"УИК №922"	"УИК №923"	"УИК №924"	"УИК №925"	"УИК №926"	"УИК №927"	"УИК №928"	"УИК №929"	"УИК №930"	"УИК №931"	"УИК №932"	"УИК №933"	"УИК №934"	"УИК №935"	"УИК №936"	"УИК №937"	"УИК №938"	"УИК №939"	"УИК №940"	"УИК №941"	"УИК №942"	"УИК №943"	"УИК №944"	"УИК №945"	"УИК №946"	"УИК №947"	"УИК №948"	"УИК №949"	"УИК №950"	"УИК №951"	"УИК №1200"	"УИК №1201"	"УИК №1202"	"УИК №1203"	"УИК №1204"	"УИК №1205"	
2429	2688	1722	2092	2484	2214	2379	2026	2141	1435	1340	2207	2349	2810	2377	2258	2513	2138	2108	1767	2377	2267	2133	2105	2134	2150	1549	1578	2371	2456	2445	2045	2664	1910	2528	2038	2183	2318	2136	1606	1593	2010	2679	2055	1430	1997	2501	2718	1648	2269	2119	2624	2473	2310	589	173	57	73	39	156	
2050	2050	1200	2050	2050	2050	2350	2050	2050	1100	1000	2050	2050	2550	2050	2050	2050	2050	2050	1200	2050	2050	1500	2050	2050	2050	1100	1200	2050	2050	2050	1400	2050	1300	2050	2050	2050	1700	2050	1100	1200	2050	2050	2050	1000	1550	2050	2050	1200	2050	2050	2100	2050	2050	1000	300	100	100	100	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1376	1609	1070	1244	1373	1275	1497	1241	1159	945	817	1227	1209	1676	1438	1325	1481	1190	1170	1052	1544	1384	1372	1338	1343	1121	936	911	1391	1423	1344	1164	1576	1079	1431	1245	1314	1618	1313	989	866	1188	1700	1263	842	1211	1565	1370	950	1239	1219	1361	1392	1430	373	98	29	67	0	137	
27	36	15	27	27	16	15	20	21	10	27	37	16	29	18	15	7	35	36	11	14	20	37	22	15	17	14	24	10	16	28	40	21	11	9	19	34	26	26	33	32	36	13	24	33	23	34	20	12	24	8	16	23	24	201	62	25	0	39	13	
647	405	115	779	650	759	838	789	870	145	156	786	825	845	594	710	562	825	844	137	492	646	91	690	692	912	150	265	649	611	678	196	453	210	610	786	702	56	711	78	302	826	337	763	125	316	451	660	238	787	823	723	635	596	426	140	46	33	61	50	
27	36	15	27	27	16	15	20	21	10	27	37	16	29	18	15	7	35	36	11	14	20	37	22	15	17	14	24	10	16	28	40	21	11	9	19	34	26	26	33	32	36	13	24	33	23	34	20	12	24	8	16	23	24	201	62	25	0	39	13	
1375	1609	1070	1244	1373	1275	1497	1241	1159	945	817	1227	1209	1675	1438	1325	1481	1190	1170	1052	1544	1384	1371	1338	1342	1121	935	911	1391	1423	1344	1164	1576	1079	1431	1245	1314	1618	1313	989	866	1187	1700	1261	842	1211	1565	1368	948	1239	1219	1361	1391	1430	373	98	29	67	0	137	
16	13	16	13	8	6	14	8	10	12	11	11	21	20	13	8	19	12	13	10	15	10	15	14	17	10	9	12	4	9	13	12	17	12	9	18	4	17	18	8	11	11	23	13	7	7	17	11	7	5	19	18	11	16	11	3	0	1	0	0	
1386	1632	1069	1258	1392	1285	1498	1253	1170	943	833	1253	1204	1684	1443	1332	1469	1213	1193	1053	1543	1394	1393	1346	1340	1128	940	923	1397	1430	1359	1192	1580	1078	1431	1246	1344	1627	1321	1014	887	1212	1690	1272	868	1227	1582	1377	953	1258	1208	1359	1403	1438	563	157	54	66	39	150	
