"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	
2920	2516	2799	1725	2644	1405	1911	1220	995	
2900	2450	2650	1725	2560	1405	1840	1220	900	
0	0	0	0	0	0	0	0	0	
2801	2372	2591	1614	2489	1283	1770	1054	867	
73	59	40	9	49	4	41	62	17	
26	19	19	102	22	118	29	104	16	
73	59	40	9	49	4	41	62	17	
2801	2372	2591	1614	2489	1283	1770	1054	867	
3	2	1	26	2	10	4	12	1	
2871	2429	2630	1597	2536	1277	1807	1104	883	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	

41	27	23	5	16	39	41	2	15	
38	97	42	137	102	180	60	65	49	
4	5	4	8	5	13	11	0	8	
2733	2249	2530	1409	2377	996	1664	1025	786	
3	2	0	21	4	14	2	8	5	
9	12	7	5	5	14	4	1	8	
17	14	9	5	8	11	18	0	12	
26	23	15	7	19	10	7	3	0	
