"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №777"	"УИК №779"	
1810	1561	1178	1064	1194	2059	1953	1723	1598	1862	992	1247	1660	1709	1983	1856	1329	1554	1349	1912	1082	1839	1457	1296	1276	1351	1775	924	1729	1457	1832	1680	1858	1690	1145	1019	1844	2140	1840	1363	1202	1064	1092	1104	1116	1687	1754	1643	1499	1097	1048	1120	975	938	987	1095	1117	1142	1099	1559	1503	1348	1758	1355	1244	1163	1558	1029	1010	1192	1306	1921	1805	1471	1505	1452	2041	1725	2382	512	
1500	1200	1000	800	900	1500	1044	1200	851	1300	700	900	1200	1200	938	962	900	1000	1000	1400	800	1300	1000	900	900	1000	1300	700	1200	1000	1300	1200	960	999	800	700	1200	1700	1300	1000	900	700	700	800	800	1200	1200	1200	1100	700	700	800	700	440	594	800	800	800	800	906	813	734	1200	1000	900	800	1100	700	700	800	1000	1400	1300	1100	1100	1000	1400	1106	1600	600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1166	888	832	656	730	1189	996	950	832	838	506	553	865	962	884	943	743	921	824	1084	552	1081	829	650	734	736	1139	476	1012	838	1032	960	926	967	670	519	954	1466	931	759	641	625	641	625	630	938	1014	832	825	634	578	590	515	421	562	562	601	590	605	882	782	692	954	834	741	636	870	604	551	703	606	1020	1063	844	883	808	1172	1089	1458	368	
33	121	50	31	32	29	48	55	19	38	41	223	46	43	54	19	22	24	37	21	45	52	39	47	17	41	14	60	50	34	47	51	34	32	37	41	26	52	52	35	51	30	19	17	20	82	70	64	65	51	23	34	38	19	32	26	35	20	22	24	31	42	49	27	16	33	46	36	33	31	260	49	41	30	12	12	18	17	17	112	
301	191	118	113	138	282	0	195	0	424	153	124	289	195	0	0	135	55	139	295	203	167	132	203	149	223	147	164	138	128	221	189	0	0	93	140	220	182	317	206	208	45	40	158	150	180	116	304	210	15	99	176	147	0	0	212	164	190	173	0	0	0	197	139	143	131	184	60	116	66	134	331	196	226	205	180	210	0	125	120	
33	121	50	31	32	29	47	55	19	38	41	223	46	43	54	19	22	24	37	21	45	52	39	47	17	41	14	60	50	34	47	51	34	32	37	41	26	52	52	35	51	30	19	17	20	82	70	64	65	51	23	34	38	19	32	26	35	20	22	24	31	42	49	27	16	33	46	36	33	31	260	49	41	30	12	12	18	17	17	112	
1166	887	832	656	728	1188	992	950	829	838	506	553	865	962	881	937	743	921	824	1082	552	1081	829	650	733	736	1138	476	1012	837	1029	960	926	965	670	519	954	1466	931	759	641	625	641	625	630	938	1014	832	825	633	578	590	515	420	562	562	601	590	605	881	782	689	954	832	741	636	870	604	551	702	606	1015	1062	844	883	808	1172	1088	1456	368	
11	13	20	11	6	11	21	13	19	4	6	12	10	10	19	8	7	11	8	10	1	12	8	4	5	7	9	6	4	10	5	6	6	12	4	5	15	18	18	11	3	6	9	6	4	9	9	7	3	16	9	5	2	7	8	5	5	6	7	11	5	11	7	7	5	4	7	10	6	4	14	8	7	9	7	5	17	8	12	7	
1188	995	862	676	754	1206	1018	992	829	872	541	764	901	995	916	948	758	934	853	1093	596	1121	860	693	745	770	1143	530	1058	861	1071	1005	954	985	703	555	965	1500	965	783	689	649	651	636	646	1011	1075	889	887	668	592	619	551	432	586	583	631	604	620	894	808	720	996	852	752	665	909	630	578	729	852	1056	1096	865	888	815	1173	1097	1461	473	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

22	9	10	7	9	13	10	9	8	12	7	7	11	12	11	3	4	13	13	11	8	8	6	9	6	10	12	4	14	6	15	16	15	16	3	4	10	11	6	12	6	7	12	13	6	9	10	11	8	6	9	8	7	4	9	6	4	5	3	10	8	7	11	13	14	4	9	9	7	8	5	8	3	7	16	14	2	11	20	5	
180	154	133	83	125	163	147	121	97	121	68	86	130	117	119	122	114	150	127	159	88	163	114	76	123	126	193	85	132	136	172	124	129	123	89	80	135	208	110	95	98	87	93	82	97	107	114	111	119	82	82	49	76	73	97	74	101	82	83	124	145	86	136	149	110	91	121	97	72	83	143	171	169	110	126	104	175	180	237	53	
56	49	53	36	38	56	80	56	72	64	29	59	73	63	80	76	61	59	65	83	38	75	62	54	58	46	71	35	84	55	72	57	72	64	62	44	58	119	86	63	56	45	41	52	40	88	80	78	63	47	44	61	44	35	51	41	38	44	46	63	67	67	72	50	49	52	58	38	47	75	67	72	88	81	65	59	81	125	80	47	
823	712	573	488	510	866	711	739	590	626	411	568	614	732	651	700	543	654	592	775	416	809	638	520	509	542	785	378	782	621	756	756	680	718	511	405	710	1099	718	574	487	482	459	455	468	753	817	647	655	504	412	470	399	294	393	441	446	450	455	650	555	523	723	575	532	486	668	452	420	531	587	754	801	627	652	590	844	741	1032	346	
51	25	48	19	29	58	34	36	21	24	14	18	32	26	21	21	16	28	27	27	15	24	23	16	19	16	35	9	11	20	19	18	25	21	17	9	26	24	26	17	17	11	21	16	14	14	20	20	21	9	22	12	10	13	10	9	22	6	18	17	11	15	23	33	23	9	26	17	10	14	25	24	18	14	17	25	45	19	50	11	
11	8	4	9	11	5	5	6	4	7	2	2	9	7	7	3	0	7	7	9	5	18	2	4	9	9	6	4	13	4	9	11	10	10	3	2	8	7	4	6	8	8	6	2	4	10	6	6	1	2	4	5	5	0	4	4	9	7	9	2	9	5	4	3	7	4	3	3	5	4	7	10	4	9	5	3	7	5	6	2	
12	16	23	11	16	23	13	9	13	6	3	16	14	20	16	7	7	10	10	15	10	13	8	6	8	10	19	6	10	10	11	7	10	11	7	7	6	19	6	10	6	3	9	5	8	13	17	9	5	5	11	4	6	8	8	3	4	4	1	16	5	8	11	12	8	14	11	5	6	6	8	5	4	5	1	12	10	7	17	5	
33	22	18	23	16	22	18	16	24	12	7	8	18	18	11	16	13	13	12	14	16	11	7	8	13	11	22	9	12	9	17	16	13	22	11	4	12	13	9	6	11	6	10	11	9	17	11	7	15	13	8	10	4	5	14	5	7	6	5	12	8	9	16	17	9	5	13	9	11	8	10	12	9	12	6	8	9	9	19	4	
