"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	
323	1255	985	1851	514	
350	1400	1000	2000	500	
23	0	0	0	145	
173	610	610	1103	171	
14	48	33	102	6	
140	742	357	795	178	
37	48	33	102	151	
173	610	610	1102	171	
3	8	2	25	0	
207	650	641	1179	322	
0	0	0	0	0	
0	0	0	0	0	

0	6	6	19	1	
12	61	59	108	22	
22	60	68	108	36	
172	493	478	897	254	
1	16	9	20	5	
0	4	6	5	2	
0	4	9	15	2	
0	6	6	7	0	
