"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	
1428	691	670	609	660	745	678	2084	1285	684	684	
1500	700	700	700	700	750	700	2100	1400	800	700	
0	0	0	0	0	0	0	0	0	0	0	
914	445	434	450	450	445	448	1213	881	434	458	
82	46	61	42	27	56	56	149	110	48	25	
504	209	205	208	223	249	196	738	409	318	217	
82	46	61	42	27	56	56	149	110	48	25	
914	445	434	450	450	445	448	1213	881	434	458	
13	11	7	8	5	5	7	24	13	5	5	
983	480	488	484	472	496	497	1338	978	477	478	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

8	4	2	5	2	1	5	7	10	10	5	
249	130	101	97	111	124	104	295	232	97	120	
92	33	43	41	50	52	43	134	76	62	46	
604	299	331	326	294	311	336	868	629	290	301	
9	2	4	11	3	4	1	7	11	6	3	
6	6	3	2	5	1	3	10	6	9	0	
11	2	1	0	5	2	2	10	5	1	2	
4	4	3	2	2	1	3	7	9	2	1	
