"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	
1815	1992	1901	781	2556	353	294	457	270	234	306	719	184	195	205	351	279	226	
1600	1800	1600	750	2100	320	270	410	240	300	300	700	170	180	190	340	280	230	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1123	997	1224	356	1111	221	125	290	164	213	189	491	136	119	123	175	190	152	
61	95	84	30	84	37	55	27	8	21	32	57	22	23	30	36	39	20	
416	708	292	364	905	62	90	93	68	66	79	152	12	38	37	129	51	58	
61	95	84	30	84	37	55	27	8	21	32	57	22	23	30	36	39	20	
1123	997	1224	356	1111	221	125	290	164	213	189	491	136	119	123	175	190	152	
11	10	10	4	27	1	0	3	1	0	4	5	3	0	4	1	1	2	
1173	1082	1298	382	1168	257	180	314	171	234	217	543	155	142	149	210	228	170	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	11	9	4	6	0	3	2	0	2	0	2	0	0	0	2	2	0	
184	192	141	61	159	35	30	33	25	50	17	34	9	23	20	25	24	10	
95	110	100	31	112	16	10	25	11	20	14	40	14	11	7	23	19	6	
860	739	1017	277	858	200	134	244	129	155	184	456	127	106	121	154	180	148	
8	9	8	4	13	2	1	4	3	1	1	5	0	1	0	3	1	1	
4	6	7	4	9	3	0	4	0	4	1	3	5	0	0	2	0	2	
8	7	3	0	9	0	1	2	0	1	0	0	0	0	1	0	1	0	
9	8	13	1	2	1	1	0	3	1	0	3	0	1	0	1	1	3	
