"УИК №6001"	"УИК №6002"	"УИК №6003"	"УИК №6004"	"УИК №6005"	"УИК №6006"	"УИК №6007"	"УИК №6008"	"УИК №6009"	"УИК №6010"	"УИК №6011"	"УИК №6012"	"УИК №6013"	"УИК №6014"	"УИК №6015"	"УИК №6016"	"УИК №6017"	"УИК №6018"	"УИК №6019"	"УИК №6020"	"УИК №6021"	"УИК №6022"	"УИК №6023"	"УИК №6024"	"УИК №6025"	"УИК №6026"	"УИК №6027"	"УИК №6028"	"УИК №6029"	"УИК №6030"	"УИК №6031"	"УИК №6032"	"УИК №6033"	"УИК №6034"	"УИК №6035"	"УИК №6036"	"УИК №6037"	"УИК №6038"	"УИК №6039"	"УИК №6040"	"УИК №6041"	"УИК №6042"	"УИК №6043"	"УИК №6044"	"УИК №6045"	"УИК №6046"	"УИК №6047"	"УИК №6048"	"УИК №6049"	"УИК №6050"	"УИК №6051"	"УИК №6052"	"УИК №6053"	"УИК №6054"	"УИК №6055"	"УИК №6056"	"УИК №6057"	"УИК №6058"	"УИК №6059"	"УИК №6060"	"УИК №6061"	"УИК №6062"	"УИК №6063"	"УИК №6064"	"УИК №6065"	"УИК №6066"	"УИК №6067"	"УИК №6068"	"УИК №6069"	"УИК №6070"	"УИК №6071"	"УИК №6072"	"УИК №6073"	"УИК №6074"	"УИК №6075"	"УИК №6076"	"УИК №6077"	"УИК №6078"	"УИК №6079"	"УИК №6080"	"УИК №6081"	"УИК №6082"	"УИК №6083"	"УИК №6084"	"УИК №6085"	"УИК №6086"	"УИК №6087"	"УИК №6088"	"УИК №6089"	"УИК №6090"	"УИК №6091"	"УИК №6092"	"УИК №6093"	"УИК №6094"	"УИК №6095"	"УИК №6096"	"УИК №6097"	"УИК №6098"	"УИК №6099"	"УИК №6100"	"УИК №6101"	"УИК №6102"	"УИК №6103"	"УИК №6104"	"УИК №6105"	"УИК №6106"	"УИК №6107"	"УИК №6108"	"УИК №6109"	"УИК №6110"	"УИК №6111"	"УИК №6112"	"УИК №6113"	"УИК №6114"	"УИК №6115"	"УИК №6116"	"УИК №6117"	"УИК №6118"	"УИК №6119"	"УИК №6120"	"УИК №6121"	"УИК №6122"	"УИК №6123"	"УИК №6124"	"УИК №6125"	"УИК №6126"	"УИК №6127"	"УИК №6128"	"УИК №6129"	"УИК №6130"	"УИК №6131"	"УИК №6132"	"УИК №6133"	"УИК №6134"	"УИК №6135"	"УИК №6136"	"УИК №6137"	"УИК №6138"	"УИК №6139"	"УИК №6140"	"УИК №6141"	"УИК №6142"	"УИК №6143"	"УИК №6144"	"УИК №6145"	"УИК №6146"	"УИК №6147"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	12	15	10	9	15	12	10	13	8	10	9	7	2	11	10	6	8	20	3	22	16	8	5	2	7	4	6	2	9	15	5	14	5	13	10	14	14	7	10	11	10	16	9	11	10	16	11	7	9	12	9	10	17	12	14	12	17	8	13	13	10	10	6	11	6	15	11	9	3	8	14	12	8	8	19	10	4	10	5	12	10	13	7	8	13	7	16	8	12	13	7	14	11	13	9	16	10	14	15	7	10	9	7	13	14	6	5	4	11	12	6	10	15	15	15	8	11	11	12	14	13	12	7	10	12	12	12	14	13	13	14	10	8	15	12	9	9	13	6	4	15	17	11	1	3	6	
195	244	174	169	156	198	157	199	188	155	203	137	184	146	194	186	226	203	271	164	182	182	201	62	85	83	138	160	134	182	176	111	158	179	204	163	160	174	198	157	180	170	173	158	178	170	205	242	170	206	176	169	141	316	254	242	286	333	145	157	164	189	150	138	157	133	223	218	201	178	211	195	193	224	194	263	283	170	152	183	228	246	253	188	228	230	171	242	185	158	181	169	236	197	209	187	193	235	256	298	190	179	197	164	163	198	197	194	172	208	177	203	253	231	216	201	171	211	215	233	207	225	193	222	135	221	242	237	248	248	242	243	255	203	237	250	189	166	206	180	217	188	244	244	37	38	131	
115	85	97	90	95	89	104	100	100	84	80	79	77	76	94	96	108	88	99	76	69	93	89	51	59	63	62	72	59	64	71	60	84	77	88	78	64	83	89	75	68	77	52	54	59	86	103	81	81	100	55	87	83	84	101	95	90	68	84	64	84	98	68	86	63	68	75	108	98	71	84	71	86	84	78	92	92	68	59	77	82	80	75	105	104	87	83	88	80	78	94	83	113	85	98	113	104	94	101	97	85	93	121	74	74	91	52	56	82	90	54	103	96	88	87	100	91	89	108	86	77	69	54	67	66	75	97	96	97	70	105	82	73	80	109	102	95	71	93	79	78	75	75	71	17	27	188	
1117	1219	970	940	1064	1189	980	946	1043	897	1106	819	935	767	1052	943	1181	1155	1245	894	958	1080	1001	371	379	317	483	622	625	949	970	690	831	862	1174	1054	890	912	852	862	915	867	788	801	978	1060	1112	1161	897	1074	892	967	897	1170	1118	1191	1272	1242	1014	935	1053	1069	999	861	951	860	999	1160	1055	783	903	880	982	1123	1016	1371	1342	827	843	870	998	1132	1102	1035	1097	1257	885	1143	957	1039	950	898	1231	1013	1053	1269	1087	1190	1187	1309	1059	1349	1499	951	1080	981	979	869	970	1079	913	1179	1112	1099	1188	969	1140	1122	1137	1115	999	1018	948	1035	660	915	1067	1094	1068	1004	1091	1234	1063	964	1111	1119	958	999	1137	938	985	851	957	1018	269	356	636	
42	34	44	32	28	32	24	28	31	28	23	24	37	15	36	29	31	37	56	19	31	33	28	17	12	10	12	20	50	26	22	20	33	23	39	28	24	30	30	17	25	27	30	35	20	23	41	32	27	34	27	26	22	68	38	38	42	71	30	36	29	20	32	21	30	17	33	52	29	48	31	38	32	34	22	73	70	40	20	32	42	71	64	36	31	33	19	43	25	29	22	30	44	37	26	34	35	32	45	44	30	38	32	36	21	34	21	21	22	28	23	32	29	38	38	26	33	32	26	69	45	42	38	43	22	29	50	40	29	24	44	50	33	29	36	33	19	26	35	29	41	40	53	60	7	5	25	
8	13	10	14	10	9	13	16	17	19	12	13	20	11	10	8	14	7	12	13	15	11	8	6	2	5	7	13	7	16	12	13	16	11	21	14	11	13	9	11	10	6	9	3	13	10	16	13	8	7	9	14	8	12	6	9	20	13	14	11	15	17	19	17	6	6	20	16	19	10	10	13	7	16	12	18	7	13	11	8	13	13	14	5	14	15	15	7	13	9	9	13	12	12	10	8	14	21	16	15	14	3	15	10	15	17	10	13	16	10	15	10	16	13	14	8	8	12	10	20	14	12	5	10	7	6	12	8	8	15	7	16	12	12	19	11	13	10	10	7	13	13	15	16	3	5	19	
11	10	17	5	10	11	11	10	11	6	10	3	4	9	14	10	17	12	20	9	12	12	21	2	1	2	3	3	11	11	15	10	14	11	13	6	16	10	12	16	11	8	9	12	9	10	16	15	13	9	8	5	2	35	18	20	26	29	12	11	17	11	14	5	13	7	10	12	14	6	25	11	16	12	13	31	37	15	13	20	16	25	17	5	18	10	10	18	9	5	10	9	15	18	19	10	15	23	14	27	10	7	12	6	9	12	16	16	7	10	20	8	13	14	21	7	10	11	20	25	7	16	18	22	11	16	12	9	10	18	25	26	16	17	19	16	14	14	15	15	17	17	20	23	4	4	2	
30	27	27	22	26	26	24	17	24	19	24	17	20	17	18	18	24	27	33	16	21	32	22	2	4	0	6	10	12	11	23	15	21	24	16	18	18	24	22	22	18	10	18	12	28	16	16	11	13	21	14	26	10	39	13	20	18	36	21	13	32	22	22	12	17	19	12	32	18	21	24	13	24	31	24	45	44	25	10	13	34	29	19	12	14	14	11	16	15	10	20	14	19	14	15	26	19	18	14	21	15	7	20	8	12	19	19	13	18	6	11	13	29	26	20	17	21	21	21	19	16	24	13	26	15	26	27	18	12	14	23	31	26	14	16	19	22	21	15	13	20	12	26	21	6	2	9	
