"УИК №816"	"УИК №817"	"УИК №818"	"УИК №819"	"УИК №820"	"УИК №821"	"УИК №822"	"УИК №823"	"УИК №824"	"УИК №825"	"УИК №826"	"УИК №827"	"УИК №828"	"УИК №829"	"УИК №830"	"УИК №831"	"УИК №832"	
983	2370	274	265	561	537	198	286	130	686	168	235	159	270	62	47	75	
980	2311	263	257	501	529	191	276	124	682	162	228	156	260	62	47	75	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
940	2207	263	255	498	526	191	262	124	657	162	224	156	260	62	47	75	
40	58	0	0	0	3	0	14	0	12	0	0	0	0	0	0	0	
0	46	0	2	3	0	0	0	0	13	0	4	0	0	0	0	0	
40	58	0	0	0	3	0	14	0	12	0	0	0	0	0	0	0	
940	2207	263	255	498	526	191	262	124	657	162	224	156	260	62	47	75	
0	3	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	
980	2262	263	253	498	529	191	276	124	667	162	224	156	260	62	47	75	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	11	1	1	0	0	1	0	0	0	0	0	0	0	0	0	
10	40	0	3	17	9	7	10	2	3	5	7	5	4	0	2	5	
5	2	0	1	0	0	0	2	0	1	0	1	0	1	0	3	1	
959	2217	252	240	480	520	184	263	122	662	157	215	151	253	61	42	67	
1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	2	
2	3	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	
1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	
2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
