"УИК №893"	"УИК №894"	"УИК №895"	"УИК №896"	"УИК №897"	"УИК №898"	"УИК №899"	"УИК №900"	"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	"УИК №919"	"УИК №920"	"УИК №921"	"УИК №922"	"УИК №923"	"УИК №924"	"УИК №925"	"УИК №926"	"УИК №927"	"УИК №928"	"УИК №929"	"УИК №930"	"УИК №931"	"УИК №932"	"УИК №933"	"УИК №934"	"УИК №935"	"УИК №936"	"УИК №937"	"УИК №938"	"УИК №939"	"УИК №940"	"УИК №941"	"УИК №942"	"УИК №943"	"УИК №944"	"УИК №945"	"УИК №946"	"УИК №947"	"УИК №948"	"УИК №949"	"УИК №950"	"УИК №951"	"УИК №962"	
1374	1222	565	598	921	799	750	1188	1769	1698	1210	2557	2613	1737	1129	1478	1835	2085	2727	2630	1310	1157	1658	995	1236	1772	2094	2244	1416	1269	2487	1310	1285	1613	1657	1342	1604	1875	2184	1802	2058	1187	2015	2010	1679	2401	1408	2480	271	2284	1185	1278	1877	1972	1843	2428	490	983	1696	1277	
1300	1200	500	550	900	700	700	1100	1700	1600	521	2400	1900	1024	1100	1400	1800	2000	2700	2600	1300	683	1600	900	1200	1700	2100	2200	778	720	2400	1300	1200	1600	962	1300	946	1800	2200	1700	2000	1080	2000	2000	1600	2300	1400	2500	200	2300	659	1200	1800	1900	1800	2400	500	900	1700	719	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
658	555	350	419	631	416	355	689	1256	885	513	1341	1627	988	571	811	1103	1245	1931	1512	834	658	1200	432	686	1029	1215	1210	753	692	1448	908	774	1018	918	822	905	1086	1217	1068	1243	651	1215	1393	1035	1611	501	1425	44	1329	642	852	1119	1095	1145	1362	244	691	1071	685	
59	151	18	64	100	188	53	27	38	30	8	167	29	36	20	29	63	51	37	72	25	25	26	22	43	10	41	45	25	28	67	20	26	97	44	26	41	37	39	33	56	30	62	40	45	67	26	44	152	53	17	52	48	31	35	38	155	40	27	34	
583	494	132	67	169	96	292	384	406	685	0	892	244	0	509	560	634	704	732	1016	441	0	374	446	471	661	844	945	0	0	885	372	400	485	0	452	0	677	944	599	701	399	723	567	520	622	873	1031	4	918	0	296	633	774	620	1000	101	169	602	0	
59	151	18	64	100	188	53	27	38	30	8	167	29	36	20	29	63	51	37	72	25	25	26	22	43	10	41	45	25	28	67	20	26	97	43	26	41	37	39	33	56	29	62	40	45	67	26	44	152	53	17	52	48	31	35	38	155	40	27	34	
658	555	350	419	631	416	355	689	1256	885	512	1341	1627	988	571	811	1103	1245	1931	1512	834	658	1200	432	686	1029	1213	1210	752	691	1448	908	774	1018	917	822	905	1086	1217	1068	1188	650	1215	1393	1035	1611	501	1425	44	1329	642	852	1119	1095	1145	1362	244	691	1071	685	
7	2	2	0	0	6	2	3	4	6	8	12	21	6	4	10	12	22	19	13	10	0	8	3	10	11	6	14	2	8	12	11	10	13	2	13	2	5	8	12	5	2	13	7	14	12	6	14	1	12	2	8	13	12	10	23	3	5	12	4	
710	704	366	483	731	598	406	713	1290	909	512	1496	1635	1018	587	830	1154	1274	1949	1571	849	683	1218	451	719	1028	1248	1241	775	711	1503	917	790	1102	958	835	944	1118	1248	1089	1239	677	1264	1426	1066	1666	521	1455	195	1370	657	896	1154	1114	1170	1377	396	726	1086	715	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

