"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	"УИК №1037"	"УИК №1038"	"УИК №1039"	"УИК №1040"	
164	1643	438	2072	399	196	192	289	505	642	269	207	332	459	155	174	429	143	339	138	831	140	613	
150	1600	400	2100	400	170	170	300	500	650	250	200	330	450	150	150	450	130	350	130	850	140	600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
88	990	273	1078	240	98	96	158	329	379	132	114	187	256	87	106	284	82	181	74	443	72	325	
5	40	19	68	20	16	12	14	33	35	26	18	23	16	6	23	34	4	19	11	53	11	49	
57	570	108	954	140	56	62	128	138	236	92	68	120	178	57	21	132	44	150	45	354	57	226	
5	40	19	68	20	16	12	14	33	35	26	18	23	16	6	23	34	4	19	11	53	11	49	
88	990	273	1078	240	98	96	158	329	379	132	114	187	256	87	106	284	82	181	74	443	72	325	
0	12	5	7	0	0	0	1	4	3	0	1	3	1	1	2	2	2	2	2	3	1	8	
93	1018	287	1139	260	114	108	171	358	411	158	131	207	271	92	127	316	84	198	83	493	82	366	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	4	2	3	1	0	1	0	1	0	1	0	0	0	0	1	2	0	0	0	3	0	0	
9	142	46	127	22	11	9	18	37	36	12	7	22	33	6	7	30	16	25	2	58	9	43	
8	50	14	63	16	20	9	16	27	20	6	7	9	7	6	4	7	4	8	11	28	8	27	
75	805	219	937	220	82	88	135	280	349	139	117	169	227	75	113	274	61	164	69	402	64	289	
0	3	4	2	1	1	1	1	10	1	0	0	3	0	1	0	3	2	1	0	0	0	2	
1	9	2	0	0	0	0	1	2	1	0	0	3	4	4	2	0	0	0	1	0	1	4	
0	4	0	4	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	
0	1	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	
