"УИК №1188"	"УИК №1189"	"УИК №1190"	"УИК №1191"	"УИК №1192"	"УИК №1193"	"УИК №1194"	"УИК №1195"	"УИК №1196"	"УИК №1197"	"УИК №1198"	"УИК №1199"	"УИК №1200"	"УИК №1201"	"УИК №1202"	"УИК №1203"	"УИК №1204"	"УИК №1205"	"УИК №1206"	"УИК №1207"	"УИК №1208"	"УИК №1209"	"УИК №1210"	"УИК №1211"	"УИК №1212"	"УИК №1213"	"УИК №1214"	"УИК №1215"	"УИК №1216"	"УИК №1217"	"УИК №1218"	"УИК №1219"	"УИК №1220"	"УИК №1221"	"УИК №1222"	"УИК №1223"	"УИК №1224"	"УИК №1225"	"УИК №1226"	"УИК №1227"	"УИК №1228"	"УИК №1229"	"УИК №1230"	"УИК №1231"	"УИК №1232"	"УИК №1233"	"УИК №1234"	"УИК №1235"	"УИК №1236"	"УИК №1237"	"УИК №1238"	"УИК №1239"	"УИК №1240"	"УИК №1241"	"УИК №1242"	"УИК №1243"	
676	423	550	221	531	317	172	207	147	301	107	161	580	163	71	167	140	272	162	416	77	94	642	133	284	232	302	208	533	658	599	900	105	524	368	124	148	218	564	389	452	1056	284	151	95	393	449	249	467	122	103	341	180	308	302	143	
724	462	568	230	543	324	169	207	151	296	119	165	632	165	74	171	145	277	171	419	77	92	675	141	294	233	309	207	554	677	631	921	108	537	368	124	155	241	608	399	465	1146	284	154	99	407	457	255	487	125	102	350	188	312	310	154	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
560	381	466	184	472	267	159	194	133	279	100	158	417	162	70	161	131	219	149	408	75	87	424	131	209	207	283	199	508	581	530	820	98	447	351	116	138	199	534	366	442	916	267	142	94	358	421	230	407	118	95	339	170	271	272	135	
82	36	51	19	49	36	10	10	13	13	5	0	155	0	0	5	5	26	11	6	1	3	45	0	40	3	14	6	15	34	41	26	6	35	10	7	8	13	26	9	5	28	3	7	0	17	18	0	17	2	2	0	5	26	21	5	
82	45	51	27	22	21	0	3	5	4	14	7	60	3	4	5	9	32	11	5	1	2	206	10	45	23	12	2	31	62	60	75	4	55	7	1	9	29	48	24	18	202	14	5	5	32	18	25	63	5	5	11	13	15	17	14	
82	36	51	19	49	36	10	10	13	13	5	0	155	0	0	5	5	26	11	6	1	3	45	0	40	3	14	6	15	34	41	26	6	35	10	7	8	13	26	9	5	28	3	7	0	17	18	0	17	2	2	0	5	26	21	5	
560	381	466	184	472	267	159	194	133	279	100	158	417	162	70	161	131	219	149	408	75	87	424	131	209	207	283	199	508	581	530	820	98	447	351	116	138	199	534	366	442	911	267	142	94	358	421	230	407	118	95	339	170	271	272	135	
3	0	0	0	6	0	0	1	0	0	5	3	3	6	0	6	1	0	2	2	0	2	5	0	1	0	2	1	2	3	11	28	1	7	3	0	7	5	0	1	5	3	0	0	0	2	3	0	3	0	0	0	0	0	0	0	
639	417	517	203	515	303	169	203	146	292	100	155	569	156	70	160	135	245	158	412	76	88	464	131	248	210	295	204	521	612	560	818	103	475	358	123	139	207	560	374	442	936	270	149	94	373	436	230	421	120	97	339	175	297	293	140	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	0	1	1	1	1	1	0	0	0	2	5	0	0	0	0	0	1	1	0	0	4	1	3	1	1	1	2	3	3	3	0	1	0	0	0	0	0	1	0	6	0	0	0	0	0	0	1	0	0	0	1	0	0	0	
43	48	72	19	60	24	18	12	4	15	1	10	22	7	4	8	5	7	13	24	2	1	65	3	13	6	17	16	39	70	73	195	2	41	66	7	8	3	3	19	8	198	21	7	0	51	29	8	35	8	9	9	6	20	5	8	
7	4	11	6	8	5	4	0	2	6	3	0	12	0	0	8	1	0	0	3	0	0	27	3	10	2	4	3	5	17	12	13	0	2	4	0	0	1	2	3	2	16	2	1	0	4	5	0	5	0	1	2	7	1	0	0	
577	360	429	172	443	267	145	188	137	267	96	141	522	147	66	144	128	231	142	380	74	87	362	124	218	201	267	184	469	514	465	588	100	422	282	115	131	201	552	347	432	700	246	141	94	314	401	222	376	108	85	328	159	272	287	132	
5	3	0	1	1	2	0	0	1	2	0	1	4	2	0	0	1	6	1	3	0	0	2	0	1	0	1	0	3	2	1	6	0	5	2	0	0	1	1	2	0	9	0	0	0	2	0	0	4	4	1	0	1	1	1	0	
4	1	2	3	0	3	0	2	2	2	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	1	0	1	3	6	4	1	3	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	
1	0	2	1	2	1	0	0	0	0	0	1	4	0	0	0	0	1	1	0	0	0	1	0	2	0	0	0	2	2	0	5	0	1	3	0	0	0	1	2	0	4	1	0	0	2	0	0	0	0	0	0	0	0	0	0	
