"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	
145	185	142	1525	1041	679	107	113	159	621	94	364	501	274	585	768	
160	190	160	1600	1100	650	120	100	170	650	100	390	550	250	520	820	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
82	112	94	802	598	397	78	59	92	422	65	222	296	148	432	491	
15	6	11	63	52	39	12	8	7	35	8	32	71	16	41	47	
63	72	55	735	450	214	30	33	71	193	27	136	183	86	47	282	
15	6	11	63	52	39	12	8	7	35	8	32	71	16	41	47	
82	112	94	802	598	397	78	59	92	422	65	222	296	148	432	491	
1	0	1	7	15	5	0	0	3	5	0	2	5	1	4	13	
96	118	104	858	635	431	90	67	96	452	73	252	362	163	469	525	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	0	5	1	0	0	0	0	1	0	2	2	0	4	6	
16	12	11	142	103	81	22	4	6	84	12	35	64	23	82	78	
8	7	1	44	43	47	4	4	19	25	1	24	8	6	40	35	
71	91	89	652	475	295	63	58	67	336	60	190	283	131	335	395	
0	2	0	1	7	3	1	1	1	2	0	0	3	2	0	2	
0	4	3	7	5	4	0	0	0	3	0	1	0	0	4	7	
0	1	0	4	1	1	0	0	2	0	0	0	2	0	3	2	
0	0	0	3	0	0	0	0	1	1	0	0	0	1	1	0	
