"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	
707	808	1302	1989	1342	1828	2011	1889	768	977	1285	1487	1679	751	677	620	1256	1981	2127	1162	
600	700	1100	1800	1200	1700	1800	1700	700	800	1200	1400	1500	700	600	600	1100	1800	2000	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
299	348	618	1047	644	770	1198	829	323	474	716	751	912	395	313	295	506	915	1029	606	
10	24	26	15	9	21	29	21	10	12	9	14	38	8	11	5	13	53	35	16	
291	328	456	738	547	909	573	850	367	314	475	635	550	297	276	300	581	832	936	378	
10	24	26	15	9	21	29	21	10	12	9	14	38	8	11	5	13	53	35	16	
299	348	618	1047	644	769	1198	829	323	474	716	750	912	395	313	295	506	915	1029	606	
2	3	7	6	4	5	15	3	0	4	7	6	8	3	7	5	5	12	7	7	
307	369	637	1056	649	785	1212	847	333	482	718	758	942	400	317	295	514	956	1057	615	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	2	9	11	3	4	10	4	1	2	6	5	4	4	1	3	0	8	8	4	
19	38	57	106	54	61	96	59	25	30	43	61	70	44	22	21	51	69	81	49	
37	31	62	92	51	92	117	96	39	31	55	57	81	37	40	34	63	89	88	62	
238	280	484	786	518	592	947	667	259	404	590	600	730	302	246	223	375	744	841	476	
5	7	9	18	10	21	17	10	3	3	14	21	20	6	3	2	14	20	18	9	
2	3	7	9	3	3	7	3	0	4	2	4	10	2	2	4	4	10	5	6	
3	2	6	14	5	3	4	5	3	5	3	2	8	1	3	2	7	4	4	4	
0	6	3	20	5	9	14	3	3	3	5	8	19	4	0	6	0	12	12	5	
