"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №564"	
1411	2141	592	2489	1141	2177	2472	1789	1098	2427	1870	2181	2094	1956	2234	1602	2171	1886	1773	
1400	2150	600	2500	1100	2200	2500	1700	1100	2400	1800	2200	2000	1900	2250	1600	2150	1900	1800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1104	1750	506	1281	641	1351	1447	1154	781	1700	1311	1291	1099	1032	1788	719	1523	1246	1252	
124	147	12	217	260	348	531	284	152	242	289	379	644	338	207	344	336	221	288	
172	253	82	1002	199	501	522	262	167	458	200	530	257	530	255	537	291	433	260	
124	147	12	217	260	348	531	284	152	242	289	379	644	338	207	344	336	221	288	
1104	1750	506	1281	641	1351	1447	1154	781	1700	1311	1291	1099	1032	1788	719	1521	1246	1252	
0	8	0	13	5	12	4	0	11	14	0	23	14	8	20	10	11	9	3	
1228	1889	518	1485	896	1687	1974	1438	922	1928	1600	1647	1729	1362	1975	1053	1846	1458	1537	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	10	2	4	4	4	5	2	6	6	10	14	10	10	14	8	7	11	6	
47	103	20	129	32	63	76	56	53	151	65	86	36	83	147	98	37	122	48	
70	108	29	52	49	98	113	82	30	91	90	188	100	60	94	69	145	77	75	
1061	1650	447	1281	806	1479	1701	1242	794	1642	1354	1325	1542	1165	1680	856	1625	1227	1350	
25	4	11	6	2	33	39	28	13	7	44	11	11	8	17	10	16	7	28	
1	5	0	5	1	3	2	1	7	9	5	6	11	8	11	9	7	2	6	
1	4	0	5	1	4	3	2	10	8	4	9	11	13	8	2	4	4	8	
22	5	9	3	1	3	35	25	9	14	28	8	8	15	4	1	5	8	16	
