"УИК №870"	"УИК №871"	"УИК №872"	"УИК №873"	"УИК №874"	"УИК №875"	"УИК №876"	"УИК №877"	"УИК №878"	"УИК №879"	"УИК №880"	"УИК №881"	"УИК №882"	
1880	2714	245	179	986	1499	808	1340	306	345	2420	1432	906	
1750	2750	200	150	1000	1500	750	1250	300	300	2450	1300	800	
0	0	0	0	0	0	0	0	0	0	0	0	0	
1005	1671	114	114	533	838	585	732	162	199	1340	895	502	
175	132	13	9	73	35	28	83	9	11	88	72	63	
570	947	73	27	394	627	137	435	129	90	1022	333	235	
175	132	13	9	73	35	28	83	9	11	89	72	63	
1004	1669	114	114	533	838	585	732	162	199	1339	895	502	
6	22	2	4	8	5	2	14	3	1	50	6	1	
1173	1779	125	119	598	868	611	801	168	209	1378	961	564	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

8	16	0	0	4	5	6	3	0	0	8	8	3	
200	437	26	30	173	183	96	205	13	23	305	245	98	
72	121	18	21	35	56	48	59	16	26	128	53	53	
871	1164	81	67	378	607	456	525	136	159	904	638	400	
3	10	0	0	2	4	1	4	3	0	6	4	3	
13	12	0	0	5	7	2	4	0	0	16	7	5	
2	13	0	1	0	5	0	0	0	0	8	2	2	
4	6	0	0	1	1	2	1	0	1	3	4	0	
