"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №349"	
1385	1760	1368	1117	1590	1104	757	756	850	943	712	547	1200	110	
1420	1830	1410	1100	1610	1110	835	830	860	1005	730	555	1260	111	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1155	1521	1194	974	1213	922	623	646	667	764	631	456	1050	102	
50	92	106	82	180	67	60	59	89	86	52	28	84	8	
215	217	110	44	217	121	152	125	104	155	47	71	126	1	
50	92	106	82	180	67	60	59	89	86	52	28	84	8	
1155	1521	1194	974	1213	922	623	646	667	764	631	456	1050	102	
8	2	3	3	4	6	5	4	7	9	9	3	7	0	
1197	1611	1297	1053	1389	983	678	701	749	841	674	481	1127	110	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	5	3	3	4	2	1	2	1	2	0	0	2	0	
147	184	112	10	167	107	84	43	69	75	72	24	184	7	
16	22	24	27	31	25	19	31	34	23	27	18	49	2	
978	1324	1108	958	1114	788	538	577	604	700	541	413	850	91	
0	0	0	0	0	1	0	0	0	0	0	0	0	0	
43	48	31	33	59	37	27	37	34	37	29	22	27	5	
9	26	19	21	13	21	8	11	6	4	5	4	13	4	
1	2	0	1	1	2	1	0	1	0	0	0	2	1	
