"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	
1323	1341	1188	1683	1464	1058	624	283	223	443	123	468	311	178	
1250	1250	1100	1650	1400	1000	500	220	200	430	100	460	260	170	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
770	804	646	880	741	488	297	89	113	201	56	231	176	121	
41	13	42	46	57	61	75	95	43	72	27	87	42	22	
439	433	412	724	602	451	128	36	44	157	17	142	42	27	
41	13	42	46	57	61	75	95	43	72	27	87	42	22	
770	803	646	880	741	488	297	89	113	201	56	231	176	121	
8	18	9	19	7	4	3	2	2	3	1	4	4	0	
803	798	679	907	791	545	369	182	154	270	82	314	214	143	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	5	3	7	2	2	7	0	0	3	1	1	1	0	
87	82	62	71	63	50	58	13	9	19	8	23	11	4	
67	99	70	111	79	65	27	16	10	33	5	38	12	21	
618	581	515	686	617	409	265	145	132	207	65	244	186	113	
9	8	12	16	8	5	5	7	1	3	1	6	0	1	
8	7	6	5	7	3	4	0	1	4	1	1	2	2	
6	6	8	5	7	6	1	1	0	0	1	1	2	1	
5	10	3	6	8	5	2	0	1	1	0	0	0	1	
