"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	
207	384	96	290	58	193	159	389	628	1503	1443	593	176	179	252	149	
200	380	90	250	50	200	150	370	650	1400	1400	600	190	190	250	150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
110	202	40	111	44	92	77	141	262	769	741	322	81	86	116	73	
20	38	24	59	3	41	11	116	46	83	96	44	49	42	39	21	
70	140	26	80	3	67	62	113	342	548	563	234	60	62	95	56	
20	38	24	59	3	41	11	116	46	83	96	44	49	42	39	21	
110	202	40	111	44	92	77	141	262	769	741	322	81	86	116	73	
1	3	1	2	0	0	2	2	3	3	7	3	1	3	0	1	
129	237	63	168	47	133	86	255	305	849	830	363	129	125	155	93	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	2	0	0	0	1	2	1	1	16	11	3	1	2	2	0	
14	26	6	16	1	13	1	20	38	149	92	61	9	29	6	7	
8	26	9	15	4	23	13	27	23	81	81	59	10	13	12	11	
102	180	45	137	41	95	66	202	236	574	622	231	105	80	130	69	
0	0	2	0	1	1	1	3	4	10	9	4	1	0	1	2	
3	2	1	0	0	0	2	2	3	13	10	3	1	1	1	2	
1	1	0	0	0	0	1	0	0	4	3	1	1	0	1	2	
1	0	0	0	0	0	0	0	0	2	2	1	1	0	2	0	
