"УИК №1408"	"УИК №1409"	"УИК №1411"	"УИК №1412"	"УИК №1413"	"УИК №1414"	"УИК №1415"	"УИК №1416"	"УИК №1417"	"УИК №1418"	"УИК №1419"	"УИК №1420"	"УИК №1421"	"УИК №1422"	"УИК №1423"	"УИК №1424"	"УИК №1425"	"УИК №1426"	"УИК №1427"	"УИК №1428"	"УИК №1429"	"УИК №1430"	"УИК №1432"	"УИК №1433"	"УИК №1434"	
1560	1558	1571	1306	983	1135	931	848	957	1102	809	1212	225	423	529	293	260	162	208	117	915	318	431	146	745	
1550	1600	1650	1350	990	1150	950	850	950	1100	800	1230	200	420	530	280	230	150	200	100	950	300	440	150	780	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
916	967	1089	847	634	698	641	566	568	720	592	737	128	247	330	190	143	101	138	68	671	152	195	105	597	
59	29	22	37	10	18	21	43	23	70	7	35	45	49	62	45	30	16	41	23	139	42	176	29	61	
575	604	539	466	346	434	288	241	359	310	201	458	27	124	138	45	57	33	21	9	140	106	69	16	122	
59	29	22	37	10	18	21	43	23	70	7	35	45	49	62	45	30	16	41	23	139	42	176	29	61	
916	967	1089	847	634	698	641	566	568	720	592	737	128	247	330	190	143	101	138	68	671	152	195	105	597	
2	14	11	7	10	6	10	0	7	2	7	9	0	2	4	2	3	0	0	0	0	1	0	0	1	
973	982	1100	877	634	710	652	609	584	788	592	763	173	294	388	233	170	117	179	91	810	193	371	134	657	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	4	9	6	6	7	3	3	2	3	1	3	0	0	2	0	0	1	0	3	0	1	0	0	0	
72	113	119	99	77	98	97	53	81	82	55	103	17	22	37	16	23	11	18	4	106	9	27	24	69	
45	72	88	76	59	40	58	29	39	67	39	80	17	19	43	17	9	8	14	4	74	16	21	11	51	
823	765	865	664	471	541	467	508	447	618	485	561	134	247	298	193	136	94	143	78	603	165	319	97	527	
10	8	8	7	6	6	8	6	5	7	5	5	2	1	2	4	1	1	0	0	6	1	0	1	4	
3	5	2	9	7	5	8	5	8	4	5	5	2	3	5	1	1	1	2	0	14	0	1	0	3	
11	9	5	7	1	10	7	3	1	7	1	3	0	1	0	1	0	1	2	0	7	1	1	1	1	
2	6	4	9	7	3	4	2	1	0	1	3	1	1	1	1	0	0	0	2	0	0	2	0	2	
