"УИК №1066"	"УИК №1067"	"УИК №1068"	"УИК №1069"	"УИК №1070"	"УИК №1071"	"УИК №1072"	"УИК №1073"	"УИК №1074"	"УИК №1075"	"УИК №1076"	"УИК №1077"	"УИК №1078"	"УИК №1079"	"УИК №1080"	"УИК №1081"	"УИК №1082"	"УИК №1083"	"УИК №1084"	"УИК №1085"	"УИК №1086"	"УИК №1087"	"УИК №1088"	"УИК №1089"	"УИК №1090"	"УИК №1091"	"УИК №1092"	"УИК №1093"	"УИК №1094"	"УИК №1095"	"УИК №1096"	"УИК №1097"	"УИК №1098"	"УИК №1099"	"УИК №1100"	"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №2292"	"УИК №2293"	
2486	2514	343	354	282	403	1235	238	156	105	1053	199	335	231	225	1351	702	302	179	735	200	86	251	312	846	396	469	434	430	512	101	144	131	274	176	139	1110	164	130	355	171	270	264	218	207	287	102	
2580	2590	310	360	320	440	1260	240	150	90	1090	200	340	240	230	1400	720	320	170	700	190	80	250	290	870	390	490	440	420	480	100	150	130	270	180	140	1190	150	130	360	180	270	260	210	190	280	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1492	1464	230	208	202	258	618	149	111	78	563	117	203	135	121	760	489	225	141	382	111	64	167	151	441	226	253	215	284	333	51	101	76	144	118	88	638	124	92	228	107	164	175	139	150	222	77	
75	33	17	19	13	23	74	18	4	0	42	11	22	29	19	33	53	20	7	29	18	7	13	44	20	13	16	61	50	81	22	4	10	26	22	14	47	9	0	7	2	21	19	4	7	11	3	
1013	1093	63	133	105	159	568	73	35	12	485	72	115	76	90	607	178	75	22	289	61	9	70	95	409	151	221	164	86	66	27	45	44	100	40	38	505	17	38	125	71	85	66	67	33	47	20	
75	33	17	19	13	23	74	18	4	0	42	11	22	29	19	33	53	20	7	29	18	7	13	44	20	13	16	61	50	81	22	4	10	26	22	14	47	9	0	7	2	21	19	4	7	11	3	
1492	1464	230	208	202	258	618	149	111	78	563	117	203	135	121	760	489	225	141	382	111	64	167	151	441	226	253	215	284	333	51	101	76	144	118	88	638	124	92	228	107	164	175	139	150	222	77	
17	20	0	1	0	2	15	1	0	0	11	5	0	2	7	21	2	2	1	8	1	0	4	1	5	4	5	2	5	2	0	1	1	3	0	3	10	1	2	1	0	5	4	2	3	2	0	
1550	1477	247	226	215	279	677	166	115	78	594	123	225	162	133	772	540	243	147	403	128	71	176	194	456	235	264	274	329	412	73	104	85	167	140	99	675	132	90	234	109	180	190	141	154	231	80	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	7	1	3	1	3	4	1	0	0	0	1	1	1	1	3	3	0	1	4	0	1	3	1	1	0	1	1	0	0	1	0	1	1	1	0	2	0	0	2	0	2	0	1	0	2	1	
263	269	22	47	23	30	87	6	25	5	59	15	17	5	12	87	78	34	22	31	4	1	17	24	82	40	39	58	34	49	10	15	9	24	33	24	156	13	22	35	34	40	20	48	22	40	5	
54	58	11	8	8	5	38	10	2	2	21	5	3	7	5	19	23	7	10	41	7	3	2	5	13	5	14	11	5	14	2	2	2	12	10	5	19	20	6	4	2	10	5	3	4	5	1	
1175	1093	209	163	178	236	532	147	87	68	494	100	198	145	107	643	429	198	109	323	117	66	150	161	343	186	202	197	284	340	60	85	70	126	94	69	483	97	59	189	72	124	159	87	127	178	71	
16	18	2	2	2	4	6	1	0	1	6	1	2	0	4	5	3	0	2	1	0	0	3	1	3	1	1	0	2	2	0	2	2	0	0	0	9	2	1	2	0	1	3	0	1	2	1	
15	13	2	2	2	1	5	1	0	2	9	0	3	3	1	5	0	1	2	2	0	0	0	1	6	2	4	4	3	3	0	0	1	4	2	1	1	0	1	0	0	2	1	2	0	2	1	
6	9	0	1	1	0	3	0	1	0	2	0	1	1	1	5	3	2	1	0	0	0	0	0	2	1	1	3	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	2	0	
11	10	0	0	0	0	2	0	0	0	3	1	0	0	2	5	1	1	0	1	0	0	1	1	6	0	2	0	1	2	0	0	0	0	0	0	4	0	1	1	1	1	1	0	0	0	0	
