"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №2218"	"УИК №2219"	"УИК №2220"	"УИК №2221"	
1459	1684	1679	1963	1025	1015	148	277	583	253	242	191	635	174	713	495	695	458	207	235	1223	414	497	205	1755	754	558	124	132	269	178	685	397	582	325	357	1142	1128	423	607	395	651	838	461	553	276	787	145	848	199	322	163	122	138	154	209	
1570	1660	1670	2020	1045	1010	140	290	590	260	230	200	620	170	700	510	685	475	220	240	1230	410	500	200	1620	770	575	115	138	290	187	710	380	455	320	335	1150	1140	435	610	400	650	845	455	560	280	800	135	865	200	335	160	135	145	147	230	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
894	974	1014	1165	689	682	99	212	375	179	163	136	474	153	486	278	416	288	129	133	877	286	332	159	1186	487	420	81	100	225	96	443	287	427	222	248	632	678	276	337	255	355	568	313	376	206	540	125	573	152	205	115	80	117	120	139	
70	95	55	39	21	26	3	22	28	13	3	4	40	11	28	25	46	21	17	11	37	14	12	7	30	11	9	4	1	9	12	68	21	18	34	29	45	34	27	42	22	15	30	23	33	5	49	2	47	14	18	8	2	7	6	9	
606	591	601	816	335	302	38	56	187	68	64	60	106	6	186	207	223	166	74	96	316	110	156	34	404	272	146	30	37	56	79	199	72	10	64	58	473	428	132	231	123	280	247	119	151	69	211	8	245	34	112	37	53	21	21	82	
70	95	55	39	21	26	3	22	28	13	3	4	40	11	28	25	46	21	17	11	37	14	12	7	30	11	9	4	1	9	12	68	21	18	34	29	45	34	27	42	22	15	30	23	33	5	49	2	47	14	18	8	2	7	6	9	
894	974	1014	1165	689	682	99	212	375	179	163	136	474	153	486	278	416	288	129	133	877	286	332	159	1186	487	420	81	100	225	96	443	287	427	222	248	632	678	276	337	255	355	568	313	376	206	540	125	573	152	205	115	80	117	120	139	
15	15	17	17	10	10	2	4	7	1	2	3	7	2	6	2	6	6	2	3	12	4	2	2	18	5	5	1	1	1	1	4	5	5	4	4	11	12	1	5	0	0	7	3	6	2	5	2	6	2	0	1	3	2	3	1	
949	1054	1052	1187	700	698	100	230	396	191	164	137	507	162	508	301	456	303	144	141	902	296	342	164	1198	493	424	84	100	233	107	507	303	440	252	273	666	700	302	374	277	370	591	333	403	209	584	125	614	164	223	122	79	122	123	147	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	6	6	6	6	3	0	3	0	1	0	0	2	0	1	0	5	0	1	0	3	3	1	1	10	1	1	0	2	1	0	7	2	3	4	0	0	4	1	5	1	1	3	0	3	1	3	4	2	1	0	2	0	1	0	0	
179	172	172	184	118	116	8	26	49	34	12	19	60	31	60	56	80	50	19	18	152	45	41	27	189	79	81	2	10	19	26	49	38	39	19	21	134	159	58	37	37	86	84	47	45	28	72	6	52	24	25	18	8	16	19	7	
48	42	46	72	45	12	0	7	9	8	10	6	17	7	13	7	11	6	3	0	12	10	12	4	57	7	6	1	3	8	3	20	19	39	19	24	22	17	6	8	4	7	19	7	11	1	33	4	16	8	10	5	1	4	4	4	
686	801	789	887	505	534	91	186	333	142	137	105	412	120	416	230	351	242	119	122	704	234	278	126	897	394	325	80	80	200	76	419	240	345	200	224	494	513	227	308	226	263	472	271	330	162	447	110	529	122	181	96	70	97	96	133	
12	11	9	11	10	9	0	2	3	5	1	5	7	2	9	3	2	1	0	0	19	2	4	2	19	4	3	1	2	1	1	7	1	7	5	3	4	4	5	4	4	2	5	4	1	5	9	0	8	5	2	1	0	3	1	0	
8	7	12	15	4	14	0	2	2	1	0	1	2	1	5	2	6	2	0	0	6	1	4	3	9	6	6	0	0	3	1	2	3	3	2	1	9	1	3	6	2	4	3	2	9	10	7	1	4	4	1	0	0	1	0	1	
3	6	7	6	5	3	1	0	0	0	3	0	1	0	1	1	0	0	1	1	5	1	0	0	8	0	2	0	3	0	0	2	0	3	2	0	2	1	1	4	2	1	4	0	3	1	7	0	0	0	3	0	0	0	1	1	
4	9	11	6	7	7	0	4	0	0	1	1	6	1	3	2	1	2	1	0	1	0	2	1	9	2	0	0	0	1	0	1	0	1	1	0	1	1	1	2	1	6	1	2	1	1	6	0	3	0	1	0	0	0	2	1	
