"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №260"	
1808	1161	805	2616	1895	2430	2849	2294	1031	2392	2688	1935	2590	2238	2184	367	2140	1621	2467	2291	1735	2169	2664	2391	2308	2038	2220	226	1115	2022	1485	1661	1756	1114	
1700	1100	600	2500	2400	2400	2800	2300	1000	2500	2500	1900	2500	2000	2200	400	2200	1500	2500	2200	1700	2000	2500	2300	2300	2000	2200	300	1000	1900	1500	1450	1700	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1125	751	471	1729	1107	1502	1811	1342	515	1535	1554	1299	1770	1355	1406	170	1188	862	1345	1420	967	1395	1444	1261	1418	1249	1167	192	601	1839	888	1074	1012	572	
37	31	25	48	38	70	28	47	88	54	80	21	35	34	35	197	42	53	81	62	17	50	56	71	19	51	49	34	19	1	49	124	28	17	
538	318	104	723	1255	828	961	911	397	911	866	580	695	611	759	33	970	585	1074	718	716	555	1000	968	863	700	984	74	380	60	563	252	660	411	
37	31	25	48	38	70	28	47	88	54	80	21	35	33	35	197	42	53	81	62	17	50	56	71	19	51	49	34	19	1	49	124	28	17	
1125	751	471	1729	1107	1502	1811	1342	515	1535	1553	1299	1770	1355	1406	170	1188	862	1344	1417	967	1395	1444	1259	1418	1249	1167	192	601	1836	888	1074	1012	572	
11	10	2	23	8	23	21	28	9	21	22	18	31	23	24	7	20	18	31	27	14	17	22	25	27	18	15	3	21	53	18	18	12	3	
1151	772	494	1754	1137	1549	1818	1361	594	1568	1611	1302	1774	1365	1417	360	1210	897	1394	1452	970	1428	1478	1305	1410	1282	1201	223	599	1784	919	1180	1028	586	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	3	4	19	9	8	10	13	7	12	21	8	16	12	10	2	3	5	12	5	8	8	11	3	8	18	10	3	1	14	11	10	4	3	
236	156	93	322	220	270	341	258	111	364	343	270	319	297	265	63	219	173	281	257	219	233	259	270	243	218	237	29	137	502	182	259	211	135	
105	61	38	144	80	107	126	122	52	101	147	109	138	110	103	39	121	86	130	129	85	111	123	118	144	122	138	16	42	100	72	83	128	46	
762	514	320	1199	772	1087	1261	896	401	1004	1019	851	1205	887	964	245	809	601	906	988	616	1020	1025	872	960	875	780	169	390	1025	610	742	645	376	
18	15	13	27	25	37	40	39	7	31	37	21	38	24	31	6	26	11	32	36	20	23	25	19	18	17	10	0	20	79	16	34	14	7	
3	6	7	14	4	8	8	5	6	17	14	7	17	10	9	3	11	3	10	7	4	11	9	7	19	6	8	2	3	11	5	5	10	1	
10	5	6	11	15	14	15	20	4	18	21	23	28	15	16	2	15	10	10	14	7	13	12	8	10	13	7	1	4	26	9	18	12	13	
11	12	13	18	12	18	17	8	6	21	9	13	13	10	19	0	6	8	13	16	11	9	14	8	8	13	11	3	2	27	14	29	4	5	
