"УИК №859"	"УИК №860"	"УИК №861"	"УИК №862"	"УИК №863"	"УИК №864"	"УИК №865"	"УИК №866"	"УИК №867"	"УИК №868"	"УИК №869"	"УИК №870"	"УИК №871"	"УИК №872"	"УИК №873"	"УИК №874"	"УИК №875"	"УИК №876"	"УИК №877"	"УИК №878"	"УИК №879"	"УИК №880"	"УИК №881"	"УИК №882"	"УИК №883"	"УИК №884"	"УИК №885"	"УИК №886"	"УИК №887"	
1357	1551	677	1848	405	526	252	145	263	192	298	219	765	293	308	442	349	371	116	388	109	168	243	440	102	547	280	791	462	
1380	1570	640	1850	400	430	250	140	260	190	300	220	780	280	300	440	350	380	110	390	100	160	240	440	90	560	280	820	470	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
812	1102	560	1376	227	234	169	98	205	140	228	165	484	190	222	270	245	232	76	277	75	131	144	356	61	370	208	505	296	
185	173	43	176	96	196	65	22	31	36	41	31	156	80	62	91	52	72	17	74	17	21	75	52	22	115	32	160	125	
383	295	37	298	77	0	16	20	24	14	31	24	140	10	16	79	53	76	17	39	8	8	21	32	7	75	40	155	49	
185	173	43	176	96	196	65	22	31	36	41	31	156	80	62	91	52	72	17	74	17	21	75	52	22	115	32	160	125	
812	1102	560	1376	227	234	169	98	205	140	228	165	484	190	222	270	245	232	76	277	75	131	144	356	61	370	208	505	296	
6	57	4	28	10	0	13	0	4	0	10	1	36	7	2	16	13	1	0	5	3	3	6	7	0	1	6	13	18	
991	1218	599	1524	313	430	221	120	232	176	259	195	604	263	282	345	284	303	93	346	89	149	213	401	83	484	234	652	403	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	4	3	5	1	0	0	0	1	1	1	0	2	0	3	3	0	0	0	1	0	0	1	1	1	3	1	2	0	
84	41	31	96	14	18	10	1	8	5	9	2	30	12	5	15	23	10	3	15	3	5	3	8	4	12	3	20	25	
41	65	36	106	17	20	6	0	23	10	16	5	30	20	6	21	13	18	4	5	3	8	4	19	4	17	6	22	18	
844	1092	518	1296	275	388	200	118	200	159	233	187	535	229	268	301	246	271	85	316	83	136	204	369	74	448	223	601	356	
5	4	4	5	1	0	2	0	0	0	0	0	2	1	0	2	1	0	0	4	0	0	0	0	0	2	0	5	0	
13	4	4	10	3	2	1	0	0	1	0	1	1	1	0	2	0	2	0	3	0	0	0	3	0	1	1	1	0	
2	3	1	3	1	0	2	1	0	0	0	0	3	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	3	
2	5	2	3	1	2	0	0	0	0	0	0	1	0	0	0	1	1	1	2	0	0	0	1	0	0	0	0	1	
