"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №532"	"УИК №533"	
344	146	457	329	1184	755	424	246	653	388	
350	130	440	340	1080	670	390	230	610	360	
0	0	0	0	0	0	0	0	0	0	
245	72	204	161	651	393	175	116	343	180	
47	39	140	72	102	75	113	59	65	74	
58	19	96	107	327	202	102	55	202	106	
47	39	140	72	102	75	113	59	65	74	
245	72	204	161	651	392	175	116	343	180	
1	1	4	2	10	8	0	0	2	1	
291	110	340	231	743	459	288	175	406	253	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

0	0	0	0	6	2	1	1	3	2	
30	12	32	40	130	62	24	14	24	31	
27	5	43	18	85	49	31	17	28	16	
225	92	258	166	490	328	225	141	343	203	
3	1	3	5	21	9	2	0	4	1	
4	0	0	0	6	4	1	0	3	0	
1	0	2	1	2	4	4	1	1	0	
1	0	2	1	3	1	0	1	0	0	
