"УИК №1596"	"УИК №1597"	"УИК №1598"	"УИК №1599"	"УИК №1600"	"УИК №1601"	"УИК №1602"	"УИК №1603"	"УИК №1604"	"УИК №1605"	"УИК №1606"	"УИК №1607"	"УИК №1608"	"УИК №1609"	"УИК №1610"	"УИК №1611"	"УИК №1612"	"УИК №1613"	"УИК №1614"	"УИК №1615"	"УИК №1616"	"УИК №1617"	"УИК №1618"	"УИК №1619"	"УИК №1620"	"УИК №1621"	"УИК №1622"	"УИК №1623"	"УИК №1624"	"УИК №1625"	"УИК №1626"	"УИК №1627"	"УИК №1628"	"УИК №1629"	"УИК №1630"	"УИК №1631"	"УИК №1632"	"УИК №1633"	
274	146	735	315	486	347	675	144	943	318	58	320	53	61	981	1169	206	658	394	1008	411	352	1004	177	112	165	62	350	68	117	366	261	256	315	200	366	857	434	
270	140	740	320	500	350	670	140	950	310	50	320	50	60	990	1190	210	660	390	1020	410	350	1020	176	110	170	65	350	63	125	360	240	260	320	190	380	870	430	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
247	132	608	278	418	314	592	124	791	278	48	274	48	52	898	940	183	591	350	853	372	303	924	103	93	150	57	307	57	103	320	230	233	278	166	313	766	373	
16	8	75	15	47	16	46	14	98	19	2	20	1	6	31	163	12	24	18	75	17	25	31	72	14	7	1	19	5	6	17	10	10	19	20	29	41	38	
7	0	57	27	35	20	32	2	61	13	0	26	1	2	61	87	15	45	22	92	21	22	65	1	3	13	7	24	1	16	23	0	17	23	4	38	63	19	
16	8	75	15	47	16	46	14	98	19	2	20	1	6	31	163	12	24	18	75	17	25	31	72	14	7	1	19	5	6	17	10	10	19	20	29	41	38	
247	132	608	278	418	314	592	124	791	278	48	274	48	52	898	940	183	591	350	853	372	303	924	103	93	150	57	307	57	103	320	230	233	278	166	313	766	373	
0	1	0	0	0	3	1	1	0	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	13	4	
263	139	683	293	465	327	637	137	889	297	50	292	49	58	929	1103	193	615	368	927	389	328	955	175	105	157	58	326	62	109	337	238	243	297	185	342	794	407	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	0	1	1	2	2	1	2	3	0	1	0	0	1	5	0	0	1	2	1	0	5	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0	
1	7	0	4	8	4	28	10	10	8	2	5	1	1	21	124	2	18	8	9	9	10	16	3	2	3	3	4	3	5	7	10	12	6	2	6	8	20	
2	6	48	5	10	12	3	1	19	8	0	6	2	0	42	120	7	10	5	9	6	3	20	5	2	4	1	5	3	2	7	0	3	10	6	10	6	5	
257	124	635	281	439	305	602	123	845	278	48	278	46	57	854	829	184	581	346	897	370	311	897	166	100	149	54	311	54	102	318	226	226	279	175	322	778	382	
1	0	0	1	2	2	1	1	3	0	0	2	0	0	6	9	0	0	2	5	1	2	10	0	1	0	0	1	1	0	2	0	0	1	0	0	0	0	
1	1	0	1	3	0	1	0	7	0	0	0	0	0	1	9	0	1	2	2	1	0	0	0	0	0	0	3	0	0	1	1	1	1	0	2	2	0	
0	0	0	0	1	2	0	1	2	0	0	0	0	0	2	5	0	4	2	2	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	
1	0	0	0	1	0	0	0	1	0	0	0	0	0	2	2	0	1	2	1	1	2	2	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	
