"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №825"	
88	809	241	901	239	1331	2263	955	722	371	419	831	744	392	119	105	
80	900	250	900	250	1400	2200	900	850	400	500	900	800	450	110	110	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
44	615	162	561	172	787	1472	577	472	260	277	533	658	294	65	80	
17	94	15	71	19	147	86	52	70	30	40	62	68	42	31	14	
19	191	73	268	59	466	642	271	308	110	183	305	74	114	14	16	
17	94	15	71	19	147	86	52	70	30	40	62	68	42	31	14	
44	615	162	561	172	787	1472	577	472	260	277	533	658	294	65	80	
1	4	4	6	2	13	27	10	8	17	2	10	14	2	0	1	
60	705	173	626	189	921	1531	619	534	273	315	585	712	334	96	93	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	3	0	4	1	5	8	6	2	1	0	1	0	0	0	1	
6	96	19	111	36	146	353	139	99	48	32	99	134	43	5	9	
3	62	18	56	20	66	108	48	52	39	33	62	65	32	13	12	
50	526	132	445	130	688	1022	414	373	177	231	415	503	257	75	70	
0	7	3	6	0	6	19	4	3	5	9	2	3	1	3	1	
0	3	0	2	1	8	6	3	2	3	5	3	4	0	0	0	
0	7	0	1	0	2	12	4	3	0	2	1	2	1	0	0	
0	1	1	1	1	0	3	1	0	0	3	2	1	0	0	0	
