"УИК №1220"	"УИК №1221"	"УИК №1222"	"УИК №1223"	"УИК №1224"	"УИК №1225"	"УИК №1226"	"УИК №1227"	"УИК №1228"	"УИК №1229"	"УИК №1230"	"УИК №1231"	"УИК №1232"	"УИК №1233"	"УИК №1234"	"УИК №1235"	"УИК №1236"	"УИК №1237"	"УИК №1238"	"УИК №2293"	"УИК №2294"	"УИК №2295"	
1870	1864	1567	1717	783	1142	2318	1627	1488	1800	1884	1704	1796	2078	2215	2052	1928	1789	912	293	104	322	
1800	1500	1500	1500	700	1000	2500	1500	1500	1500	2000	1500	1600	1900	2000	2000	2000	1500	1000	330	105	326	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1216	1082	964	1084	491	728	1660	1136	947	1163	1249	1190	1083	1606	1397	1203	1255	1255	715	179	104	322	
55	216	40	28	14	24	22	74	36	47	60	53	47	28	47	27	25	19	14	104	0	0	
529	202	496	388	195	248	818	290	517	290	691	257	470	266	556	770	720	226	271	47	1	4	
55	216	40	28	14	24	22	74	36	47	60	53	47	28	47	27	25	19	14	104	0	0	
1216	1082	964	1082	491	728	1659	1136	947	1162	1248	1190	1083	1606	1397	1202	1254	1254	715	179	104	322	
10	8	4	8	8	11	29	9	13	11	14	14	9	18	11	15	16	16	8	3	0	0	
1261	1290	1000	1102	497	741	1652	1201	970	1198	1294	1229	1121	1616	1433	1214	1263	1257	721	280	104	322	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	9	4	7	3	2	7	11	6	4	10	13	7	12	7	14	10	7	11	4	0	0	
95	65	56	79	34	73	162	84	66	97	90	79	81	103	104	90	120	87	74	9	0	4	
62	75	53	64	25	46	130	52	61	61	51	48	48	86	75	59	61	85	22	12	1	6	
1013	1067	830	876	404	583	1261	999	777	974	1060	1005	925	1318	1164	989	1007	1014	567	241	103	306	
52	43	23	31	13	14	48	20	32	21	40	45	25	54	41	26	34	31	26	6	0	2	
9	6	9	7	3	4	7	7	8	8	4	4	11	13	7	10	10	7	2	0	0	1	
5	12	9	12	5	9	19	16	12	9	15	18	8	16	13	12	9	18	9	4	0	2	
16	13	16	26	10	10	18	12	8	24	24	17	16	14	22	14	12	8	10	4	0	1	
