"УИК №852"	"УИК №853"	"УИК №854"	"УИК №855"	"УИК №856"	"УИК №857"	"УИК №858"	"УИК №859"	"УИК №860"	"УИК №861"	"УИК №862"	"УИК №863"	"УИК №864"	
1059	2076	189	425	254	126	308	457	323	988	154	426	902	
1081	2153	186	391	241	118	289	426	301	949	138	405	857	
0	0	0	0	0	0	0	0	0	0	0	0	0	
643	1400	119	216	170	93	184	206	145	488	78	258	479	
67	150	26	86	20	16	31	128	102	289	52	105	154	
371	603	41	89	51	9	74	92	54	172	8	42	224	
67	150	26	86	20	16	31	128	102	289	52	105	154	
643	1400	119	216	170	93	184	206	145	488	78	258	479	
2	17	3	1	2	0	2	2	0	0	1	1	3	
708	1533	142	301	188	109	213	332	247	777	129	362	630	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

3	13	0	5	0	1	0	3	0	8	0	6	0	
103	353	20	48	37	6	45	44	28	170	11	53	95	
93	127	26	31	22	12	7	40	17	56	10	44	69	
499	1002	92	206	124	88	160	238	195	526	107	254	449	
4	16	2	2	1	1	0	1	3	7	0	3	2	
1	10	0	6	2	0	1	3	3	6	1	2	11	
4	8	1	3	2	1	0	2	1	2	0	0	2	
1	4	1	0	0	0	0	1	0	2	0	0	2	
