"УИК №1422"	"УИК №1423"	"УИК №1424"	"УИК №1425"	"УИК №1426"	"УИК №1427"	"УИК №1428"	"УИК №1429"	"УИК №1430"	"УИК №1431"	"УИК №1432"	"УИК №1433"	"УИК №1434"	"УИК №1435"	"УИК №1436"	"УИК №1437"	"УИК №1438"	"УИК №1439"	"УИК №1440"	"УИК №1441"	"УИК №1442"	"УИК №1443"	"УИК №1444"	"УИК №1445"	"УИК №1446"	"УИК №1447"	"УИК №1448"	"УИК №1449"	"УИК №1450"	"УИК №1451"	"УИК №1452"	"УИК №1453"	"УИК №1454"	"УИК №1455"	"УИК №1456"	"УИК №1457"	"УИК №1458"	"УИК №1459"	"УИК №1460"	"УИК №1461"	"УИК №1462"	"УИК №1463"	"УИК №1464"	"УИК №1465"	"УИК №1466"	"УИК №1467"	"УИК №1468"	"УИК №1469"	"УИК №1470"	"УИК №1471"	"УИК №1472"	"УИК №1473"	"УИК №1474"	"УИК №1475"	"УИК №1476"	"УИК №1477"	"УИК №1478"	"УИК №1479"	"УИК №1480"	"УИК №1481"	"УИК №1482"	"УИК №1483"	"УИК №1484"	"УИК №1485"	"УИК №1486"	"УИК №1487"	"УИК №1488"	"УИК №1489"	"УИК №1490"	"УИК №1491"	"УИК №1492"	"УИК №1493"	"УИК №1494"	"УИК №1495"	"УИК №1496"	"УИК №1497"	"УИК №1498"	"УИК №1499"	"УИК №1500"	"УИК №1501"	"УИК №1502"	"УИК №1503"	"УИК №1504"	"УИК №1505"	"УИК №1506"	"УИК №1507"	"УИК №1508"	"УИК №1509"	"УИК №1510"	"УИК №1511"	"УИК №1512"	"УИК №1513"	"УИК №1514"	"УИК №1515"	"УИК №1516"	"УИК №1517"	"УИК №1518"	"УИК №1519"	"УИК №1520"	"УИК №1521"	"УИК №1522"	"УИК №1523"	"УИК №1524"	"УИК №1525"	"УИК №1526"	"УИК №1527"	"УИК №1528"	"УИК №1529"	"УИК №1530"	"УИК №1531"	"УИК №1532"	"УИК №1533"	"УИК №1534"	"УИК №1535"	"УИК №1536"	"УИК №1537"	"УИК №1538"	
1779	1750	1720	1789	1870	1821	2486	2186	2092	1984	2127	2071	1921	1941	2042	2323	1800	2250	1896	2346	2320	2023	1810	1849	1980	2225	2082	2144	1793	1899	1795	2121	1979	2407	2295	2249	2184	2449	1784	1909	1843	1866	1819	2028	2302	1966	2076	2308	2392	2314	1825	2292	2017	2191	2685	3497	2466	2553	2541	2362	1794	1681	1588	1731	1936	2143	2181	1975	2207	1914	2276	1979	2130	2027	2321	2224	2024	2335	2245	2002	2011	1869	2219	2150	1979	1850	648	2649	2262	2143	2635	2328	1902	1909	2183	2453	2439	2527	2252	1742	2153	2165	2085	2459	2499	2255	2147	2462	2547	2272	2629	2105	1977	1643	1785	1036	1209	
1500	1500	1500	1800	1800	1800	2000	1800	1800	1800	2000	2000	1800	1800	2000	2000	1500	2000	1500	2000	2000	1800	1500	1800	1800	1800	2000	1800	1500	1800	1500	2000	1800	2000	2000	2000	2000	2500	1500	1500	1800	1800	1500	1800	2000	1800	1800	2000	2000	2000	1800	2000	1800	2000	2500	2500	2000	2500	2500	2000	1500	1500	1500	1500	1800	2000	1800	1800	2000	1800	2000	1800	1800	1800	2000	2000	1800	1800	2000	1800	1800	1800	2000	2000	1800	1800	650	2500	2000	1800	3000	2000	1800	1800	2000	2000	2500	2000	2000	1500	1800	2000	2000	2000	2000	2000	2000	2000	2500	2000	2000	1500	2500	1500	1500	1500	2000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1129	1042	830	957	1036	1007	1527	1210	1236	1040	1179	1106	1052	1138	1180	1361	1031	1291	986	1534	1486	1400	1146	1134	1278	1111	1275	1103	1017	1030	1057	1254	1207	1330	1398	1318	1330	1337	996	1106	1124	1070	1126	1266	1213	1158	1206	1388	1418	1319	1071	1333	1244	1207	1561	1850	1469	1530	1456	1249	1075	1060	897	1022	1155	1282	1300	1200	1372	1058	1365	1155	1358	1209	1354	1389	1287	1511	1283	1187	1145	1088	1257	1271	1262	1138	589	1544	1356	1419	1895	1445	1147	1187	1163	1715	1515	1566	1324	1132	1322	1443	1326	1511	1595	1432	1325	1685	1571	1322	1430	1236	1204	981	1072	788	1187	
11	15	22	30	19	31	22	14	22	14	31	27	21	29	20	36	20	14	26	14	24	20	36	39	21	35	22	28	34	37	90	28	25	12	36	32	33	57	67	32	32	23	14	14	29	21	34	24	48	56	19	28	29	28	5	11	18	33	40	30	26	26	23	32	52	22	25	23	35	25	43	39	33	40	36	26	37	25	36	47	27	34	12	25	33	29	15	12	27	21	19	23	10	23	18	12	14	110	45	16	16	12	12	17	14	17	17	15	17	21	7	7	0	2	7	219	0	
360	443	648	813	745	762	451	576	542	746	790	867	727	633	800	603	449	695	488	452	490	380	318	627	501	654	703	669	449	733	353	718	568	658	566	650	637	1106	437	362	644	707	360	520	758	621	560	588	534	625	710	639	527	765	934	639	513	937	1004	721	399	414	580	446	593	696	475	577	593	717	592	606	409	551	610	585	476	264	681	566	628	678	731	704	505	633	46	944	617	360	1086	532	643	590	819	273	971	324	631	352	462	545	662	472	391	551	658	300	912	657	563	257	1296	517	421	493	813	
11	15	22	30	19	31	22	14	22	14	31	27	21	29	20	36	20	14	26	14	24	20	36	39	21	35	22	28	34	37	90	28	25	12	36	32	33	57	67	32	32	23	14	14	29	21	34	24	48	56	19	28	29	28	5	11	18	33	40	30	26	26	23	32	52	22	26	23	35	25	43	39	33	40	36	26	37	25	36	47	27	34	12	25	33	29	15	12	27	21	19	23	10	23	18	12	14	110	45	16	16	12	12	17	14	17	17	15	17	21	7	7	0	2	7	219	0	
1128	1042	826	954	1036	1005	1526	1198	1233	1040	1179	1103	1052	1138	1178	1356	1031	1291	982	1534	1482	1389	1146	1134	1277	1104	1272	1103	1012	1028	1057	1228	1207	1328	1345	1314	1327	1336	996	1103	1119	1068	1126	1266	1211	1158	1205	1388	1413	1319	1068	1321	1241	1207	1561	1847	1467	1530	1456	1249	1072	1056	883	1019	1153	1279	1297	1197	1372	1054	1361	1152	1355	1209	1352	1389	1286	1502	1283	1179	1145	1088	1254	1271	1259	1138	589	1543	1349	1415	1892	1443	1147	1185	1157	1715	1515	1566	1311	1132	1321	1443	1322	1506	1592	1429	1322	1685	1571	1319	1428	1235	1203	976	1072	788	1185	
13	20	6	16	10	11	15	12	9	9	14	13	18	18	20	21	5	14	8	16	18	11	11	19	17	17	14	14	15	12	13	9	20	22	23	32	16	13	8	10	21	11	13	21	15	15	17	14	24	13	13	13	20	22	25	12	18	14	20	15	12	13	13	14	20	12	17	13	25	11	9	14	19	17	17	14	16	23	12	21	12	17	12	8	16	8	11	13	12	6	15	23	10	17	13	15	31	21	15	11	14	18	4	25	21	21	9	31	20	14	17	11	10	13	12	0	22	
1126	1037	842	968	1045	1025	1533	1200	1246	1045	1196	1117	1055	1149	1178	1371	1046	1291	1000	1532	1488	1398	1171	1154	1281	1122	1280	1117	1031	1053	1134	1247	1212	1318	1358	1314	1344	1380	1055	1125	1130	1080	1127	1259	1225	1164	1222	1398	1437	1362	1074	1336	1250	1213	1541	1846	1467	1549	1476	1264	1086	1069	893	1037	1185	1289	1306	1207	1382	1068	1395	1177	1369	1232	1371	1401	1307	1504	1307	1205	1160	1105	1254	1288	1276	1159	593	1542	1364	1430	1896	1443	1147	1191	1162	1712	1498	1655	1341	1137	1323	1437	1330	1498	1585	1425	1330	1669	1568	1326	1418	1231	1193	965	1067	1007	1163	
