"УИК №1146"	"УИК №1147"	"УИК №1148"	"УИК №1149"	"УИК №1150"	"УИК №1151"	"УИК №1152"	"УИК №1153"	"УИК №1154"	"УИК №1155"	"УИК №1156"	"УИК №1157"	"УИК №1158"	"УИК №1159"	"УИК №1160"	"УИК №1161"	"УИК №1162"	"УИК №1163"	"УИК №1164"	"УИК №1165"	"УИК №1166"	"УИК №1167"	"УИК №1168"	"УИК №1169"	"УИК №1170"	"УИК №1171"	"УИК №1172"	"УИК №1173"	"УИК №1174"	"УИК №1175"	"УИК №1176"	"УИК №1177"	"УИК №1178"	"УИК №1179"	"УИК №1180"	"УИК №1181"	"УИК №1182"	"УИК №1183"	"УИК №1184"	"УИК №1185"	"УИК №1186"	"УИК №1187"	
777	237	690	274	970	374	125	551	205	523	122	760	267	247	144	1015	1016	526	142	175	829	208	141	512	160	523	112	259	570	312	220	890	99	1114	430	1050	174	435	147	350	93	131	
781	239	698	274	1016	380	127	560	204	531	125	854	265	239	142	1065	1114	568	147	179	845	205	147	512	156	556	116	272	584	318	228	915	102	1121	445	1083	174	438	150	395	96	133	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
748	205	611	256	671	294	103	512	184	453	85	681	221	204	117	592	635	438	130	156	776	193	137	476	151	455	70	180	507	278	194	784	98	711	386	861	156	361	128	259	80	120	
25	28	52	16	155	48	21	28	18	64	37	71	44	32	23	191	160	85	11	18	36	9	3	10	5	65	35	47	45	26	22	99	0	193	40	160	13	53	17	45	11	10	
8	6	35	2	190	38	3	20	2	14	3	102	0	3	2	282	319	45	6	5	33	3	7	26	0	36	11	45	32	14	12	32	4	217	19	62	5	24	5	91	5	3	
25	28	52	16	155	48	21	28	18	64	37	71	44	32	23	191	160	85	11	18	36	9	3	10	5	65	35	47	45	26	22	99	0	193	40	160	13	53	17	45	11	10	
748	205	611	256	671	294	103	512	184	453	85	681	221	204	117	592	635	438	130	156	776	193	137	476	151	455	70	180	507	278	194	784	98	711	386	861	156	361	128	259	80	120	
0	1	10	0	0	12	0	9	2	7	0	0	1	3	2	6	21	0	0	0	7	0	1	3	0	0	1	4	0	3	7	10	0	9	1	17	0	0	0	3	0	0	
773	232	653	272	826	330	124	531	200	510	122	752	264	233	138	777	774	523	141	174	805	202	139	483	156	520	104	223	552	301	209	873	98	895	425	1004	169	414	145	301	91	130	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	1	1	0	1	0	1	1	1	1	1	1	0	0	4	7	0	1	0	1	0	0	1	0	1	1	0	2	0	0	2	0	3	1	1	0	1	1	1	0	1	
5	6	24	3	32	7	2	10	3	24	2	9	2	22	4	22	69	8	3	2	18	5	2	7	4	14	2	16	7	9	2	6	3	60	9	8	2	11	2	7	2	3	
16	7	18	5	31	9	4	16	5	17	2	14	9	9	5	12	67	12	2	3	20	8	3	12	3	10	3	27	13	17	3	11	2	52	12	12	3	15	1	36	3	8	
747	217	604	261	762	308	118	499	188	463	117	722	249	199	127	725	614	500	134	169	759	189	132	457	149	493	95	176	525	270	203	851	91	769	399	978	163	383	140	252	86	118	
2	0	2	1	1	2	0	2	1	2	0	2	1	0	1	1	4	1	1	0	2	0	1	2	0	1	1	0	1	2	1	1	1	3	2	2	1	1	1	3	0	0	
0	0	2	1	0	1	0	1	1	1	0	3	1	2	0	2	5	0	0	0	3	0	1	1	0	0	1	2	2	1	0	1	1	1	1	2	0	2	0	2	0	0	
0	1	1	0	0	1	0	1	0	1	0	1	0	1	1	5	4	2	0	0	1	0	0	1	0	0	0	2	1	1	0	1	0	5	0	1	0	1	0	0	0	0	
2	1	1	0	0	1	0	1	1	1	0	0	1	0	0	6	4	0	0	0	1	0	0	2	0	1	1	0	1	1	0	0	0	2	1	0	0	0	0	0	0	0	
