"УИК №763"	"УИК №764"	"УИК №765"	"УИК №766"	"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	"УИК №777"	
1837	2101	1593	140	664	428	842	292	930	1271	861	575	438	1478	1039	
1750	1800	1500	150	600	400	800	250	900	1200	800	550	400	1300	900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1135	1418	1081	105	478	276	620	227	614	875	518	414	320	1000	667	
164	133	82	11	46	31	84	13	129	89	124	67	30	92	94	
451	249	337	34	76	93	96	10	157	236	158	69	50	208	139	
164	133	82	11	46	31	84	13	129	89	124	67	30	92	94	
1135	1418	1079	105	478	276	620	227	614	875	518	414	320	1000	667	
14	26	25	0	6	6	6	3	10	17	13	8	6	11	9	
1285	1525	1136	116	518	301	698	237	733	947	629	473	344	1081	752	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	8	10	1	4	1	2	0	2	6	5	4	4	2	4	
332	362	272	24	98	43	145	57	204	193	149	62	58	251	223	
109	113	103	19	55	32	80	14	105	136	40	40	21	77	62	
820	1014	733	72	344	219	453	165	412	600	423	361	254	736	451	
6	7	4	0	5	0	6	0	1	2	4	2	2	3	5	
8	8	7	0	9	4	8	1	6	6	6	3	4	10	4	
2	7	3	0	2	2	3	0	2	4	1	1	1	1	2	
2	6	4	0	1	0	1	0	1	0	1	0	0	1	1	
