"УИК №1467"	"УИК №1468"	"УИК №1469"	"УИК №1470"	"УИК №1471"	"УИК №1472"	"УИК №1473"	"УИК №1474"	"УИК №1475"	"УИК №1476"	"УИК №1477"	"УИК №1478"	"УИК №1479"	"УИК №1480"	"УИК №1481"	"УИК №1482"	"УИК №1483"	"УИК №1484"	
1928	2300	564	164	116	763	534	294	392	561	1088	144	313	336	646	129	885	1351	
1550	1850	450	130	100	600	400	294	392	514	900	120	250	325	500	125	700	1100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1184	1391	411	92	84	417	332	220	264	367	700	109	220	244	424	92	444	781	
77	88	33	8	6	114	40	18	32	49	58	11	7	20	45	8	81	95	
289	371	6	30	10	69	28	56	96	98	142	0	23	61	31	25	175	224	
77	88	33	8	6	114	40	18	32	49	58	11	7	20	45	8	81	95	
1183	1391	411	92	84	417	332	220	264	367	700	109	220	244	424	92	444	781	
17	21	5	0	0	2	5	3	1	3	8	0	4	1	4	0	10	6	
1243	1458	439	100	90	529	367	235	295	413	750	120	223	263	465	100	515	870	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	2	3	1	1	1	2	2	0	6	1	1	0	1	3	0	6	7	
264	309	95	22	9	153	61	16	51	94	140	21	56	32	77	15	84	207	
97	114	47	23	17	52	30	23	34	29	79	11	35	17	28	5	48	60	
844	1014	286	53	63	311	268	188	206	275	508	85	127	212	349	79	368	580	
15	7	1	1	0	4	2	2	3	3	7	0	3	0	3	1	1	4	
3	7	5	0	0	4	1	2	0	3	8	1	0	1	2	0	2	4	
5	3	2	0	0	2	1	1	0	2	6	1	0	0	1	0	2	5	
8	2	0	0	0	2	2	1	1	1	1	0	2	0	2	0	4	3	
