"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	
1186	1507	854	712	176	506	143	1113	213	1298	1124	203	1162	936	68	167	142	103	476	475	140	301	101	280	156	496	166	754	133	98	86	498	271	90	248	106	
1000	1100	800	650	170	400	135	1000	220	1050	1050	220	1100	950	90	200	150	110	550	550	115	330	110	300	170	550	175	900	150	120	100	750	300	120	500	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
612	711	454	316	86	265	88	474	118	656	523	113	547	411	43	125	112	76	340	235	80	161	55	195	112	406	112	606	91	71	74	427	219	83	222	95	
43	142	12	35	8	19	7	52	13	52	35	14	43	38	0	21	8	16	41	64	17	59	13	33	10	25	9	45	7	11	3	49	5	2	9	3	
345	247	334	299	76	116	40	474	89	342	492	93	510	501	45	54	30	18	169	251	18	110	42	72	48	119	54	249	52	38	23	274	76	35	269	102	
43	142	12	35	8	19	7	52	13	52	35	14	43	38	2	21	8	16	41	64	17	59	13	33	10	25	9	45	7	11	3	49	5	2	9	3	
612	711	454	316	86	265	88	474	118	656	523	113	547	411	43	125	112	76	340	235	80	161	55	195	112	406	112	606	91	71	74	427	219	83	222	95	
4	16	9	3	0	7	0	7	0	22	9	2	20	3	0	2	1	0	6	10	3	3	1	1	1	8	4	12	0	1	3	4	3	0	3	1	
651	837	457	348	94	277	95	519	131	686	549	125	570	446	45	144	119	92	375	289	94	217	67	227	121	423	117	639	98	81	74	472	221	85	228	97	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	0	2	0	0	0	1	0	3	1	0	6	5	0	0	0	1	2	1	0	0	0	0	1	4	0	2	1	0	0	3	0	1	0	0	
98	121	62	41	14	41	4	96	6	102	88	22	65	68	7	5	13	2	34	30	5	35	8	14	14	58	6	27	8	6	3	55	37	28	13	9	
36	50	45	27	8	13	7	44	15	62	65	13	49	39	4	15	5	5	22	16	13	16	5	14	10	36	11	6	1	1	1	14	5	1	3	2	
504	653	343	274	70	220	84	368	106	501	389	90	440	320	34	120	99	81	313	242	75	166	53	197	95	313	100	597	88	73	69	385	176	50	206	86	
5	7	3	1	0	1	0	7	2	10	4	0	2	9	0	0	1	2	2	0	0	0	1	0	0	5	0	5	0	0	0	12	3	4	3	0	
1	0	2	2	2	1	0	1	0	1	0	0	2	1	0	3	0	0	0	0	0	0	0	2	1	5	0	2	0	1	1	2	0	0	3	0	
2	2	0	0	0	0	0	0	0	5	1	0	4	2	0	1	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
4	3	2	1	0	1	0	2	2	2	1	0	2	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	
