"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	
236	373	1081	420	309	170	160	535	182	409	434	302	164	408	659	321	484	540	182	687	716	244	589	932	1134	1621	1203	1304	804	487	560	757	
244	392	1112	443	334	172	166	579	199	423	484	328	181	415	736	323	489	538	189	714	768	233	600	970	1160	1700	1380	1270	840	500	620	760	
110	118	253	95	96	23	30	51	35	95	22	136	45	119	45	53	105	141	53	86	145	33	39	113	0	0	0	0	0	0	0	73	
117	228	754	305	167	141	118	454	137	276	325	148	107	261	400	242	301	313	123	519	481	193	345	475	554	1248	519	750	397	244	525	412	
9	27	70	20	46	0	11	30	10	16	36	12	11	20	92	23	64	84	6	55	64	7	62	36	41	132	227	32	59	195	35	113	
8	19	35	23	25	8	7	44	17	36	101	32	18	15	199	5	19	0	7	54	78	0	154	346	565	320	634	488	384	61	60	162	
119	145	323	115	142	23	41	81	45	111	58	148	56	139	137	76	169	225	59	141	209	40	101	149	41	132	227	32	59	195	35	186	
117	228	754	305	167	141	118	454	137	276	323	148	107	261	400	242	301	313	123	519	481	193	345	475	554	1248	519	750	397	244	525	412	
9	2	3	0	0	1	6	0	0	2	2	0	1	0	5	2	0	0	0	5	2	3	6	10	8	20	6	5	2	5	1	10	
227	371	1074	420	309	163	153	535	182	385	379	296	162	400	532	316	470	538	182	655	688	230	440	614	587	1360	740	777	454	434	559	588	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	2	0	0	0	0	0	1	7	2	1	2	3	2	0	0	0	
0	10	32	20	21	18	2	33	3	8	40	1	11	12	83	9	6	6	10	64	102	7	27	69	81	330	93	234	51	70	48	79	
1	0	5	2	1	0	0	6	0	0	10	4	0	8	36	2	3	0	4	26	6	5	39	42	39	55	54	47	34	24	35	30	
225	356	1015	392	283	143	151	484	178	377	320	288	149	377	397	302	456	532	168	555	575	215	368	483	454	964	575	479	359	317	466	466	
0	3	14	3	1	1	0	10	1	0	5	3	0	2	6	2	3	0	0	5	5	2	2	6	6	5	12	6	4	12	7	8	
0	1	3	1	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	4	0	0	1	1	1	2	1	5	1	4	0	5	
0	0	1	0	2	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	5	0	2	2	1	1	1	1	0	
0	1	4	2	1	0	0	2	0	0	2	0	1	0	3	0	0	0	0	1	0	1	1	1	4	1	1	2	2	6	2	0	
