"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №73"	"УИК №74"	
64	1090	1012	689	1504	257	
70	1000	1006	740	1511	257	
0	136	0	530	0	0	
60	590	687	153	1493	234	
3	59	76	6	11	23	
7	215	243	51	7	0	
3	195	76	536	11	23	
60	590	687	153	1493	234	
0	14	20	33	22	20	
63	771	743	656	1482	237	
0	0	0	0	0	0	
0	0	0	0	0	0	

0	5	6	5	9	2	
7	50	75	120	273	26	
9	113	88	121	233	34	
47	587	554	374	916	163	
0	9	9	17	20	4	
0	3	4	7	10	0	
0	2	7	5	10	2	
0	2	0	7	11	6	
