"УИК №3701"	"УИК №3702"	"УИК №3703"	"УИК №3704"	"УИК №3705"	"УИК №3706"	"УИК №3707"	"УИК №3708"	"УИК №3709"	"УИК №3710"	"УИК №3711"	"УИК №3712"	"УИК №3713"	"УИК №3714"	"УИК №3716"	"УИК №3717"	"УИК №3718"	"УИК №3719"	
261	74	382	153	92	304	239	153	82	235	970	458	170	837	199	170	160	919	
260	60	380	140	80	300	230	150	70	230	960	440	160	810	180	160	150	900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
137	38	156	95	63	156	153	81	50	131	397	214	86	462	110	98	87	428	
29	5	21	4	0	26	6	20	15	36	46	65	12	38	11	13	18	64	
94	17	203	41	17	118	71	49	5	63	517	161	62	310	59	49	45	408	
29	5	21	4	0	26	6	20	15	36	46	65	12	38	11	13	18	64	
137	38	156	95	63	156	153	81	50	131	397	214	86	462	110	98	87	428	
1	1	2	0	1	0	0	0	0	2	3	1	0	3	0	0	1	3	
165	42	175	99	62	182	159	101	65	165	440	278	98	497	121	111	104	489	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	2	1	0	0	0	0	1	0	0	3	4	0	3	1	0	0	1	
13	3	15	1	0	7	2	2	1	11	50	44	4	66	6	8	3	43	
16	0	14	4	2	17	13	6	7	16	39	20	11	44	16	28	5	39	
131	36	141	94	60	157	141	92	56	135	343	205	82	371	96	74	96	396	
0	0	2	0	0	1	2	0	1	2	2	1	0	6	1	0	0	4	
2	1	0	0	0	0	1	0	0	0	0	0	1	3	1	1	0	5	
1	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	
2	0	0	0	0	0	0	0	0	1	1	3	0	4	0	0	0	0	
