"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	
1797	2650	2341	1551	90	1339	969	1915	1514	2367	52	631	2306	2134	2440	1978	131	2748	2826	2712	2690	2508	2431	2212	2113	1612	2578	1976	2112	2166	2203	2584	2079	1968	2284	1758	1913	2721	2767	2498	1761	2030	2164	2279	2485	2178	2609	285	162	2564	2527	2521	2317	1682	2636	2336	142	2248	2288	2605	2674	2645	2729	2702	2687	2363	2617	2699	2578	1857	2076	
1500	2500	2000	1500	90	1100	900	1500	1400	2000	52	500	2000	2000	2500	2000	131	2500	2500	2500	2500	2500	2000	2000	2000	1500	2500	2000	1900	2000	2000	2000	2000	2000	2000	1500	1500	2500	2500	2500	1500	2000	2000	2000	2500	2000	2500	281	162	2500	2500	2400	2000	1500	2500	2000	142	2000	2400	2500	2500	2500	2500	2500	2500	2000	2500	2500	2500	1500	2000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1053	1539	1387	898	63	340	433	991	808	1363	52	356	1495	947	861	1091	131	1377	1537	1252	1397	1336	1425	1114	1205	886	1361	1119	1245	1243	1140	1388	1230	926	1134	968	1066	1462	1147	1269	938	1373	979	1195	1410	1113	1135	281	146	1304	979	1270	961	729	1309	1116	142	1058	921	1140	1107	1194	1376	1162	1785	1154	1304	1343	1653	1020	837	
34	26	47	32	27	161	148	59	64	48	0	49	77	59	67	32	0	31	58	62	21	32	17	29	68	44	50	40	56	94	66	29	42	42	37	49	43	58	51	18	47	23	63	46	65	82	35	0	16	42	57	56	59	21	49	68	0	58	43	29	58	53	45	25	50	19	42	35	23	27	30	
413	935	566	570	0	599	319	450	528	589	0	95	428	994	1572	877	0	1092	905	1186	1082	1132	558	857	727	570	1089	841	599	663	794	583	728	1032	829	483	391	980	1302	1213	515	604	958	759	1025	805	1330	0	0	1154	1464	1074	980	750	1142	816	0	884	1436	1331	1335	1253	1079	1313	665	827	1154	1122	824	453	1133	
34	26	47	32	27	161	148	59	64	48	0	49	77	59	67	32	0	31	58	62	21	32	17	29	68	44	50	40	56	94	66	29	42	42	37	49	43	58	51	18	47	23	63	46	65	82	35	0	16	42	57	56	59	21	49	68	0	58	43	29	58	53	45	25	50	19	42	35	23	27	30	
1053	1539	1387	898	63	340	428	991	808	1363	52	356	1487	947	861	1091	131	1374	1534	1252	1396	1336	1425	1110	1205	886	1361	1119	1245	1243	1140	1388	1230	926	1134	968	1066	1462	1146	1269	938	1373	979	1195	1408	1113	1135	281	146	1303	977	1270	961	729	1309	1115	142	1058	921	1140	1107	1194	1375	1162	1785	1154	1304	1343	1653	1020	837	
0	0	2	0	0	5	1	18	8	0	0	1	7	8	3	9	1	21	4	16	11	16	23	14	8	5	22	14	8	14	17	27	8	1	6	10	14	19	12	11	8	8	8	7	13	35	0	1	2	16	8	6	11	7	15	1	2	14	3	10	12	11	16	11	12	0	15	0	6	4	9	
1087	1565	1432	930	90	496	575	1032	864	1411	52	404	1557	998	925	1114	130	1384	1588	1298	1406	1352	1419	1125	1265	925	1389	1145	1293	1323	1189	1390	1264	967	1165	1007	1095	1501	1185	1276	977	1388	1034	1234	1460	1160	1170	280	160	1329	1026	1320	1009	743	1343	1182	140	1102	961	1159	1153	1236	1404	1176	1823	1173	1331	1378	1670	1043	858	
