"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	"УИК №582"	"УИК №583"	"УИК №584"	"УИК №585"	"УИК №586"	"УИК №587"	"УИК №588"	"УИК №589"	"УИК №590"	"УИК №591"	"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	
327	254	374	280	303	236	138	328	397	506	329	113	154	723	293	200	280	226	1283	1366	1269	702	200	231	165	157	249	559	703	289	296	651	267	97	583	96	178	590	258	165	50	84	425	
361	303	400	326	323	250	133	285	414	555	352	126	155	796	306	222	305	234	1366	1333	1352	730	214	283	201	164	262	590	741	304	311	689	271	105	588	102	189	638	276	174	51	69	456	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
204	168	235	162	195	142	80	224	198	324	201	71	89	389	181	139	191	117	749	765	768	465	116	146	87	87	145	354	443	143	187	312	151	65	356	61	112	329	130	106	34	63	256	
32	14	34	49	26	31	21	10	70	36	18	9	14	53	26	12	18	28	50	75	23	12	18	11	18	12	7	30	35	13	20	105	12	1	45	6	24	59	45	12	6	3	44	
125	121	131	115	102	77	32	51	146	195	133	46	52	354	99	71	96	89	567	493	561	253	80	126	96	65	110	206	263	148	104	272	108	39	187	35	53	250	101	56	11	3	156	
32	14	34	49	26	31	21	10	70	36	18	9	14	53	26	12	18	28	50	75	23	12	18	11	18	12	7	30	35	13	20	105	12	1	45	6	24	59	45	12	6	3	44	
204	168	235	162	195	142	80	224	198	324	201	71	89	389	181	139	191	117	749	765	768	465	116	146	87	87	145	354	443	143	187	312	151	65	356	61	112	329	130	106	34	63	256	
1	1	2	1	2	1	0	3	1	1	1	1	0	3	0	1	0	0	13	4	3	1	0	0	0	0	2	1	4	3	1	3	3	0	4	0	0	2	1	0	0	1	2	
235	181	267	210	219	172	101	231	267	359	218	79	103	439	207	150	209	145	786	836	788	476	134	157	105	99	150	383	474	153	206	414	160	66	397	67	136	386	174	118	40	65	298	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	2	2	1	2	3	1	1	0	0	1	0	0	4	0	1	0	0	1	5	4	1	0	0	1	1	0	2	3	0	0	2	2	0	4	0	1	1	2	1	0	0	3	
21	36	20	22	40	26	7	41	42	53	38	11	21	71	49	36	35	22	154	145	150	108	46	16	32	10	16	76	105	28	51	42	22	9	50	6	13	66	17	16	13	5	21	
13	18	31	26	14	10	6	30	34	23	21	5	6	37	18	8	18	20	70	61	57	25	4	18	6	11	13	22	29	16	10	23	16	1	42	4	19	41	21	10	1	4	21	
189	120	208	155	161	127	82	154	184	276	152	60	71	307	134	100	147	98	543	604	556	326	82	115	61	75	119	278	333	107	139	334	113	55	285	55	102	271	130	87	26	55	249	
1	1	0	0	1	3	1	2	1	3	1	0	2	4	3	2	4	2	3	7	5	3	0	3	2	1	2	1	1	0	3	3	2	0	3	1	1	1	0	1	0	0	3	
2	2	4	4	0	2	1	1	3	0	2	1	3	8	1	2	1	2	5	8	13	5	0	5	3	0	0	2	1	2	1	6	4	1	3	0	0	2	0	3	0	0	0	
0	1	1	0	0	1	1	2	2	0	3	1	0	5	2	1	2	1	9	6	2	5	1	0	0	1	0	2	0	0	1	3	0	0	8	0	0	4	3	0	0	1	0	
0	1	1	2	1	0	2	0	1	4	0	1	0	3	0	0	2	0	1	0	1	3	1	0	0	0	0	0	2	0	1	1	1	0	2	1	0	0	1	0	0	0	1	
