"УИК №148"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	
372	330	688	267	334	511	559	1212	1003	682	1288	574	
405	333	707	276	330	533	486	1268	1061	720	1331	595	
0	0	0	0	0	0	0	0	0	0	0	0	
294	235	491	241	298	369	364	609	532	378	616	505	
9	13	62	8	1	60	37	171	59	40	95	20	
102	85	154	27	31	104	85	488	470	302	620	70	
9	13	62	8	1	60	37	171	59	40	95	20	
294	235	491	241	298	369	364	609	532	378	616	505	
0	0	0	0	0	1	5	4	5	3	8	5	
303	248	553	249	299	428	396	776	586	415	703	520	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

0	0	2	1	0	1	1	2	1	3	6	4	
42	6	42	65	18	67	49	96	128	89	109	173	
2	1	6	2	4	6	3	19	19	11	32	2	
249	240	500	175	277	348	333	655	431	309	541	331	
5	0	1	4	0	3	7	3	3	1	4	4	
1	0	1	1	0	2	0	1	3	1	5	1	
1	0	1	0	0	1	2	0	1	1	1	0	
3	1	0	1	0	0	1	0	0	0	5	5	
