"УИК №3370"	"УИК №3371"	"УИК №3372"	"УИК №3373"	"УИК №3374"	"УИК №3375"	"УИК №3376"	"УИК №3377"	"УИК №3378"	"УИК №3379"	"УИК №3380"	"УИК №3381"	"УИК №3382"	"УИК №3383"	"УИК №3384"	"УИК №3385"	"УИК №3386"	"УИК №3387"	"УИК №3388"	"УИК №3389"	"УИК №3390"	"УИК №3391"	"УИК №3392"	"УИК №3393"	"УИК №3394"	"УИК №3395"	"УИК №3396"	"УИК №3397"	"УИК №3398"	"УИК №3399"	"УИК №3400"	"УИК №3401"	"УИК №3402"	"УИК №3403"	"УИК №3404"	"УИК №3405"	"УИК №3406"	"УИК №3407"	"УИК №3408"	"УИК №3409"	"УИК №3410"	"УИК №3411"	"УИК №3433"	
3287	3176	2781	2385	2684	2077	3322	974	1907	2609	2464	2480	1154	2244	2362	2936	1441	1223	1337	2808	2702	1994	2525	2893	2382	2367	2158	1953	1183	2113	1921	2697	2378	1594	2301	2665	2224	1975	1901	2642	2138	1416	1291	
2800	2700	2500	2100	2500	2000	2900	800	1700	2200	2100	2100	900	1800	1800	2500	1200	1000	1100	2600	2400	1800	2400	2600	2200	2100	2000	1700	1000	1800	1800	2100	2200	1500	2100	2500	2100	1700	1600	2300	2000	1100	1100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1941	1933	1847	1479	1705	1320	2172	682	1291	1625	1514	1423	698	1501	1502	1708	856	698	816	1385	1717	1115	1405	1619	1446	1433	1220	1217	738	1279	1252	1335	1416	981	1466	1739	1369	1223	1275	1579	1289	850	881	
61	95	82	49	27	26	59	25	23	55	65	92	23	43	42	58	29	35	19	94	123	31	30	24	16	27	49	27	11	13	29	21	42	26	16	26	33	62	25	33	31	32	12	
798	672	571	572	768	654	669	93	386	520	521	585	179	256	256	734	315	267	265	1121	560	654	965	957	738	640	731	456	251	508	519	744	742	493	618	735	698	415	300	688	680	218	207	
61	95	82	49	27	26	59	25	23	55	65	92	23	43	42	58	29	35	19	94	123	31	30	24	16	27	49	27	11	13	29	21	42	26	16	26	33	62	25	33	31	32	12	
1941	1933	1842	1479	1705	1320	2172	682	1291	1625	1514	1423	698	1501	1502	1706	856	698	816	1384	1717	1113	1405	1619	1446	1433	1220	1217	738	1263	1248	1335	1415	981	1466	1738	1369	1222	1275	1579	1289	850	881	
31	37	33	33	19	10	27	16	27	21	25	26	3	28	29	22	13	14	8	12	36	8	15	20	27	21	21	14	9	0	23	30	24	9	23	32	19	18	15	17	21	13	13	
1971	1991	1891	1495	1713	1336	2204	691	1287	1659	1554	1489	718	1516	1515	1742	872	719	827	1466	1804	1136	1420	1623	1435	1439	1248	1230	740	1276	1254	1326	1433	998	1459	1732	1383	1266	1285	1595	1299	869	880	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

16	17	13	9	16	2	13	5	7	8	14	9	9	9	13	9	10	4	8	3	10	8	7	11	3	15	5	7	3	8	10	16	10	14	17	17	15	5	7	6	5	4	3	
264	282	254	138	174	146	281	77	168	216	184	161	72	165	193	235	98	88	131	159	249	123	177	189	189	199	162	169	106	169	199	201	181	130	182	197	166	189	128	196	157	117	107	
94	119	168	76	113	90	144	41	75	103	122	81	39	88	83	56	37	28	40	59	84	42	51	50	61	57	53	59	35	31	53	62	45	37	76	54	53	33	88	73	78	48	48	
1485	1499	1376	1211	1361	1051	1686	524	974	1255	1172	1153	560	1190	1165	1308	695	570	616	1142	1406	882	1102	1229	1082	1051	965	894	550	962	868	939	1074	737	1056	1313	1044	886	1020	1235	1006	662	673	
46	29	31	22	15	15	36	26	25	31	32	33	18	30	29	80	14	14	7	63	18	47	44	52	33	45	17	38	22	40	46	31	38	24	48	67	31	55	21	31	22	21	23	
17	14	12	14	5	6	17	2	15	9	5	13	6	11	6	9	6	4	7	6	16	5	6	12	5	11	9	9	4	13	13	12	11	11	9	9	13	7	5	12	7	8	1	
25	11	19	11	11	13	16	5	12	16	13	14	6	11	10	18	4	3	12	15	5	8	14	29	18	24	15	20	9	14	16	16	22	17	22	26	20	22	6	22	10	6	7	
24	20	18	14	18	13	11	11	11	21	12	25	8	12	16	27	8	8	6	19	16	21	19	51	44	37	22	34	11	39	49	49	52	28	49	49	41	69	10	20	14	3	18	
