"УИК №1974"	"УИК №1975"	"УИК №1976"	"УИК №1977"	"УИК №1978"	"УИК №1979"	"УИК №1980"	"УИК №1981"	"УИК №1982"	"УИК №1983"	"УИК №1984"	"УИК №1985"	"УИК №1986"	
2193	2545	2000	1977	1877	2111	1717	1750	1355	1991	1197	812	894	
2200	2550	1950	1800	1850	2100	1700	1650	1300	1900	1100	750	850	
0	0	0	0	0	0	0	0	0	0	0	0	0	
1466	1715	1177	962	1202	1382	981	1049	776	1095	693	461	593	
46	39	41	253	30	30	24	68	33	64	78	70	67	
688	796	732	585	618	687	695	533	491	741	329	219	190	
46	39	41	253	30	31	24	68	33	64	78	70	67	
1466	1715	1177	962	1202	1382	981	1049	776	1095	692	461	593	
15	16	18	17	17	21	25	15	20	19	14	7	3	
1497	1738	1200	1198	1215	1392	980	1102	789	1140	756	524	657	
0	0	0	0	0	1	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

4	12	9	8	11	11	7	12	7	9	4	3	4	
176	164	111	113	136	143	98	114	101	124	109	79	68	
111	137	97	110	83	92	80	77	62	89	76	74	57	
1149	1363	934	920	939	1098	760	856	594	886	545	359	503	
19	25	24	26	18	15	17	20	11	8	7	2	9	
10	7	10	4	11	9	4	6	6	9	3	2	6	
13	23	8	11	7	7	8	5	4	9	9	1	3	
15	7	7	6	10	17	6	12	4	6	3	4	7	
