"УИК №1117"	"УИК №1118"	"УИК №1119"	"УИК №1120"	"УИК №1121"	"УИК №1122"	"УИК №1123"	"УИК №1124"	"УИК №1125"	"УИК №1126"	
1709	1565	1433	1430	1562	1590	1556	865	1644	733	
1500	1400	1200	1200	1300	1400	1400	700	1400	600	
0	0	0	0	0	0	0	0	0	0	
917	818	802	830	922	845	808	388	865	372	
97	118	149	83	92	80	97	53	88	59	
486	464	249	287	286	475	495	259	447	169	
97	118	149	83	92	80	97	53	88	59	
917	818	802	830	922	845	808	388	865	372	
11	6	12	19	11	13	5	5	15	6	
1003	930	939	894	1003	912	900	436	938	425	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

5	3	3	10	4	5	2	3	7	0	
123	114	109	114	119	116	138	53	155	49	
65	54	62	54	58	58	71	26	42	34	
796	748	747	695	802	715	669	346	710	331	
4	7	7	7	9	5	11	5	11	3	
2	3	6	9	5	7	6	2	6	6	
7	0	3	1	1	4	1	0	5	2	
1	1	2	4	5	2	2	1	2	0	
