"УИК №1536"	"УИК №1537"	"УИК №1538"	"УИК №1539"	"УИК №1540"	"УИК №1541"	"УИК №1542"	"УИК №1543"	"УИК №1544"	"УИК №1545"	"УИК №1546"	"УИК №1547"	"УИК №1548"	
1070	590	2334	2198	2258	1549	1735	2486	3289	2757	2098	2041	1676	
800	400	1900	1800	1700	1200	1400	2000	2500	2000	1700	1700	1400	
0	0	0	0	0	0	0	0	0	0	0	0	0	
587	362	1347	1155	1333	877	964	1360	1890	1566	1267	1127	924	
35	22	96	147	69	54	58	93	127	76	30	66	70	
178	16	457	498	298	269	378	547	483	358	403	507	406	
35	22	96	147	69	54	58	93	127	76	30	66	70	
587	361	1341	1154	1333	877	964	1358	1889	1565	1266	1127	924	
16	9	12	18	11	18	22	17	29	23	20	12	8	
606	374	1425	1283	1391	913	1000	1434	1987	1618	1276	1181	986	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

2	5	7	15	9	9	14	13	20	21	7	14	8	
87	53	180	129	202	133	111	179	264	246	204	172	140	
37	17	91	75	86	51	94	86	171	108	90	53	60	
436	263	1037	978	987	655	710	1025	1388	1120	887	849	717	
17	11	48	39	42	29	25	69	63	50	38	42	27	
4	5	15	5	17	6	9	9	13	14	11	5	7	
5	5	22	15	19	12	15	18	19	28	14	16	10	
18	15	25	27	29	18	22	35	49	31	25	30	17	
