"УИК №1847"	"УИК №1848"	"УИК №1849"	"УИК №1850"	"УИК №1851"	"УИК №1852"	"УИК №1853"	"УИК №1854"	"УИК №1855"	"УИК №1856"	"УИК №1857"	"УИК №1858"	"УИК №1859"	"УИК №1860"	"УИК №1861"	"УИК №1862"	
1379	1702	747	350	789	309	783	214	371	621	376	388	929	821	233	280	
1540	1870	790	380	835	335	835	210	415	640	420	410	960	870	250	290	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
831	1127	474	211	481	177	477	134	240	362	254	285	639	564	148	175	
55	75	26	76	69	41	61	3	36	43	60	15	48	58	13	25	
654	668	290	93	285	117	297	73	139	235	106	110	273	248	89	90	
55	75	26	76	69	41	61	3	36	43	60	15	48	58	13	25	
831	1127	474	211	481	177	476	134	240	362	254	285	639	564	148	175	
11	32	6	7	12	3	7	0	0	3	4	6	11	8	1	0	
875	1170	494	280	538	215	530	137	276	402	310	294	676	614	160	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	5	3	10	3	0	3	0	1	4	2	4	4	3	1	1	
269	390	169	51	122	45	124	19	21	83	54	99	244	115	34	47	
68	58	41	35	46	18	46	13	26	38	31	24	59	65	18	37	
505	701	272	177	357	149	350	104	224	273	219	160	359	416	103	114	
10	7	5	3	4	0	3	1	1	3	0	1	1	4	0	0	
6	3	0	3	4	1	0	0	2	1	3	2	6	1	4	1	
2	4	3	0	2	2	1	0	0	0	0	4	2	4	0	0	
8	2	1	1	0	0	3	0	1	0	1	0	1	6	0	0	
