"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	
63	2572	2284	2325	2639	2645	2556	2726	1595	2130	80	864	1106	457	454	286	239	
58	2550	2150	2200	2600	2600	2500	2650	1550	1950	78	800	1050	400	450	200	238	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26	1566	1379	1450	1589	1481	1401	1629	980	1385	48	435	612	239	227	160	226	
30	36	51	34	73	20	45	46	31	49	0	17	15	10	11	3	10	
2	948	720	716	938	1099	1054	975	539	516	30	348	423	151	212	37	2	
30	36	51	34	73	20	45	46	31	49	0	17	15	10	11	3	10	
26	1563	1379	1450	1587	1481	1401	1629	979	1385	48	435	612	239	227	160	226	
0	16	11	19	16	25	22	23	14	13	0	3	6	1	3	1	3	
56	1583	1419	1465	1644	1476	1424	1652	996	1421	48	449	621	248	235	162	233	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	9	12	5	18	9	7	21	4	13	0	1	1	2	1	0	3	
5	190	180	208	239	210	178	214	121	155	4	53	66	39	26	25	11	
2	105	107	123	112	116	90	106	76	74	6	24	41	9	15	4	28	
48	1209	1064	1082	1211	1084	1093	1228	762	1127	36	357	505	179	187	122	167	
0	29	27	22	22	25	21	31	13	21	2	6	2	8	1	5	17	
0	10	7	10	11	10	11	11	7	10	0	0	2	3	3	1	1	
1	18	11	9	17	10	11	21	9	8	0	4	2	3	1	5	3	
0	13	11	6	14	12	13	20	4	13	0	4	2	5	1	0	3	
