"УИК №1262"	"УИК №1263"	"УИК №1264"	"УИК №1265"	"УИК №1266"	"УИК №1267"	"УИК №1268"	"УИК №1269"	"УИК №1270"	"УИК №1271"	"УИК №1272"	"УИК №1273"	"УИК №1274"	"УИК №1275"	"УИК №1276"	"УИК №3688"	"УИК №3690"	"УИК №3691"	"УИК №3692"	"УИК №3693"	"УИК №3694"	"УИК №3695"	"УИК №3696"	"УИК №3697"	
1176	2454	2135	2216	2614	2029	1503	2455	2666	2242	2478	2386	2582	2477	2407	303	182	328	78	49	291	290	674	663	
1586	1810	1579	1585	1966	1543	1018	1786	1926	1728	1954	1846	1924	1746	1783	303	180	525	76	49	300	288	674	664	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1140	1401	1239	1276	1528	1100	916	1452	1644	1317	1455	1230	1503	1417	1275	247	148	271	62	44	283	234	602	645	
36	65	66	46	70	62	46	78	50	40	17	60	82	28	27	38	17	57	5	0	3	34	72	16	
410	344	274	263	368	381	56	256	232	371	482	556	339	301	481	18	15	197	9	5	14	20	0	3	
36	65	66	46	70	62	46	78	50	40	17	60	82	28	27	38	17	57	5	0	3	34	72	16	
1137	1398	1237	1276	1528	1100	914	1452	1640	1317	1455	1227	1500	1414	1260	247	148	271	62	44	283	234	602	645	
22	20	27	13	21	20	11	71	36	20	15	19	22	33	12	32	1	8	0	2	6	2	77	39	
1151	1443	1276	1309	1577	1142	949	1459	1654	1337	1457	1268	1560	1409	1275	253	164	320	67	42	280	266	597	622	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	16	25	10	10	9	16	23	19	10	12	10	23	15	15	3	2	1	0	0	3	5	5	5	
165	193	176	163	201	140	119	163	228	170	195	174	201	189	186	22	14	37	4	12	49	37	26	27	
59	59	63	51	79	46	45	66	69	64	62	79	81	71	66	26	15	25	3	2	24	6	130	89	
823	947	829	870	1044	781	654	1000	1102	881	1012	868	1076	977	880	175	120	237	57	23	196	210	312	359	
42	85	59	87	109	67	44	89	77	76	79	47	78	76	66	12	5	11	0	3	3	1	107	113	
10	16	11	12	12	6	7	15	23	11	15	11	9	8	6	2	0	3	0	0	1	0	1	1	
9	32	26	30	35	30	13	27	45	37	23	27	19	28	19	3	2	2	0	2	1	2	7	17	
36	95	87	86	87	63	51	76	91	88	59	52	73	45	37	10	6	4	3	0	3	5	9	11	
