"УИК №2401"	"УИК №2402"	"УИК №2403"	"УИК №2404"	"УИК №2405"	"УИК №2406"	"УИК №2407"	"УИК №2408"	"УИК №2409"	"УИК №2410"	"УИК №2411"	"УИК №2412"	"УИК №2413"	"УИК №2414"	"УИК №2415"	"УИК №2416"	"УИК №2417"	"УИК №2418"	
795	192	365	212	339	598	252	510	906	271	905	449	242	94	890	228	825	126	
740	180	360	200	330	570	240	480	840	270	830	410	230	90	830	230	780	120	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
458	124	252	138	187	305	158	316	561	176	545	332	130	42	560	135	532	102	
74	15	23	20	38	41	21	64	30	21	58	34	25	8	56	31	17	1	
208	41	85	42	105	224	61	100	249	73	227	44	75	40	214	64	231	17	
74	15	23	20	38	41	21	64	30	21	58	34	25	8	56	31	17	1	
458	124	252	138	187	305	158	316	561	176	545	332	130	42	560	135	532	102	
6	0	3	5	0	6	2	4	9	1	9	2	4	0	10	1	11	1	
526	139	272	153	225	340	177	376	582	196	594	364	151	50	606	165	538	102	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	0	0	0	0	4	2	4	5	0	6	1	0	0	3	2	3	0	
67	9	19	8	19	32	7	20	89	9	89	41	9	5	81	10	83	19	
49	8	21	21	15	26	12	32	46	24	40	21	10	3	47	11	68	10	
394	122	221	122	184	271	150	306	421	159	442	298	128	41	461	140	361	68	
4	0	8	0	2	2	2	4	7	1	3	1	1	1	5	1	5	2	
4	0	0	0	3	4	2	7	8	0	8	0	2	0	4	0	9	2	
3	0	3	1	1	1	1	1	4	3	5	1	0	0	1	1	7	1	
2	0	0	1	1	0	1	2	2	0	1	1	1	0	4	0	2	0	
