"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	
1189	1942	2022	2185	1312	920	1343	895	589	1700	553	626	780	652	547	962	1719	443	349	1194	323	
1200	1850	2150	2250	1300	950	1400	900	600	1800	600	650	850	650	550	1000	1800	450	350	1250	350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
774	1296	1253	1377	871	569	791	476	312	915	278	323	404	377	318	540	731	264	122	898	227	
36	44	32	63	46	28	104	109	94	216	75	76	107	113	29	97	298	15	122	17	30	
390	510	865	810	383	353	505	315	194	669	247	251	339	160	203	363	771	171	106	335	93	
36	44	32	63	46	28	104	109	94	216	75	76	107	113	29	97	298	15	122	17	30	
774	1296	1253	1377	871	569	791	476	312	915	278	323	404	377	318	540	731	264	122	898	227	
7	0	8	10	11	8	2	1	0	10	0	3	1	10	0	0	4	2	1	5	3	
803	1340	1277	1430	906	589	893	584	406	1121	353	396	510	480	347	637	1025	277	243	910	254	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	5	3	7	9	0	7	1	1	7	2	0	1	1	0	4	4	0	1	0	1	
128	193	212	253	118	89	134	64	44	172	24	33	47	47	34	41	123	39	14	80	16	
71	104	121	92	96	59	62	62	18	99	33	17	32	17	26	25	96	35	21	85	16	
569	1007	909	1041	653	430	680	451	335	822	293	341	420	408	287	555	785	197	205	704	215	
14	15	17	17	12	6	5	1	4	10	1	2	6	4	0	3	7	3	0	25	3	
4	10	11	8	4	1	2	1	3	10	0	3	2	2	0	7	5	3	1	5	0	
4	4	2	5	9	1	1	4	0	1	0	0	1	1	0	2	3	0	0	9	2	
9	2	2	7	5	3	2	0	1	0	0	0	1	0	0	0	2	0	1	2	1	
