"УИК №1047"	"УИК №1048"	"УИК №1049"	"УИК №1050"	"УИК №1051"	"УИК №1052"	"УИК №1053"	"УИК №1054"	"УИК №1055"	"УИК №1056"	"УИК №1057"	"УИК №1058"	"УИК №1059"	"УИК №1060"	"УИК №1061"	"УИК №1062"	"УИК №1063"	"УИК №1064"	"УИК №1065"	"УИК №1066"	"УИК №1067"	"УИК №1068"	"УИК №1069"	"УИК №1070"	"УИК №1071"	"УИК №1072"	"УИК №1073"	"УИК №1074"	"УИК №1075"	"УИК №1076"	"УИК №1077"	"УИК №1078"	"УИК №1079"	"УИК №1080"	"УИК №1081"	"УИК №1082"	"УИК №1083"	"УИК №1084"	"УИК №1085"	"УИК №1086"	"УИК №1087"	"УИК №1088"	"УИК №1089"	"УИК №1090"	"УИК №1091"	"УИК №1092"	"УИК №1093"	"УИК №1094"	"УИК №1095"	"УИК №1096"	"УИК №1097"	"УИК №1098"	"УИК №1099"	"УИК №1100"	"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №3776"	"УИК №3777"	"УИК №3778"	"УИК №3779"	"УИК №3780"	"УИК №3781"	"УИК №3782"	"УИК №3783"	"УИК №3784"	"УИК №3785"	"УИК №3786"	"УИК №3787"	"УИК №3788"	"УИК №3789"	"УИК №3790"	"УИК №3791"	"УИК №3792"	"УИК №3793"	"УИК №4222"	"УИК №4223"	
888	1450	1251	1421	1394	1527	1467	1487	1380	1384	1595	1319	1478	1510	1452	1690	1514	1457	1459	1746	1428	1595	1548	1309	1471	1536	1556	1417	1399	1492	1216	1477	1432	1400	1388	1245	1540	1502	1500	1522	1550	1482	1152	1881	1463	1331	1490	1591	1713	1510	1497	1480	1507	952	1951	1396	1366	1458	1345	1682	1468	1563	1330	1315	1557	427	1430	828	1442	1231	1364	1721	1679	1637	1324	1377	1624	1444	1441	1591	950	1326	1486	1268	978	585	265	
800	1450	1250	1350	1350	1400	1400	1350	1350	1350	1500	1300	1400	1450	1350	1400	1350	1350	1150	1340	1400	1350	1400	1250	1450	1500	1450	1350	1300	1450	1150	1250	1400	1352	1400	1150	1400	1450	1400	1450	1500	1300	1100	1600	1300	1300	1500	1550	1500	1450	1450	1310	1500	1500	1600	1550	1350	1450	1300	1550	1400	1450	1450	1300	1550	400	1300	750	1250	1350	1250	1500	1450	1450	1300	1200	1300	1400	1400	1550	1200	1250	1450	1250	1600	650	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
382	1159	633	803	711	831	856	830	849	798	950	833	862	905	818	1051	964	855	1067	1084	851	1091	1068	812	886	916	876	821	927	925	707	1063	821	858	800	798	852	884	888	886	899	994	665	1140	879	788	914	883	1026	960	909	871	892	930	1287	877	825	905	867	847	809	1006	915	768	1001	374	908	461	826	751	818	901	1122	1015	807	945	1055	853	816	950	938	871	1049	874	968	451	137	
6	111	35	21	8	1	14	22	23	8	14	22	16	16	18	13	17	12	4	29	39	18	128	14	11	29	38	19	12	13	21	0	36	14	18	5	25	25	16	10	13	17	11	7	24	10	24	9	11	6	13	23	20	21	15	53	20	20	10	33	31	16	7	9	8	3	7	7	22	8	20	11	15	66	12	75	14	2	24	15	12	25	21	8	10	93	122	
412	180	582	526	629	568	530	498	478	544	536	445	522	529	514	336	369	483	79	226	510	241	204	424	553	555	536	510	361	512	422	187	543	480	582	347	523	541	496	554	588	289	424	453	397	502	560	658	461	484	528	416	588	548	298	620	505	525	423	670	560	428	526	523	541	23	383	282	402	591	412	588	313	369	431	180	231	545	560	585	250	354	380	368	622	106	41	
6	111	35	21	8	1	14	22	23	8	14	22	16	16	18	13	17	12	4	29	39	18	128	14	11	29	38	19	12	13	21	0	36	14	18	5	25	25	16	9	13	17	11	7	24	10	24	9	11	6	13	23	20	21	15	53	20	20	10	33	31	15	7	9	8	3	7	7	22	8	20	11	15	66	12	75	14	2	24	15	12	25	21	8	10	93	122	
382	1159	633	803	703	831	855	828	849	798	950	833	862	905	808	1051	963	855	1067	1084	851	1091	1068	810	886	916	876	821	927	925	707	1063	821	858	800	798	852	884	888	885	899	994	665	1140	879	788	914	883	1025	960	909	870	892	929	1287	877	824	905	867	847	809	1006	915	768	1001	374	907	461	826	751	818	901	1122	1015	803	945	1053	853	816	950	938	871	1048	874	966	451	137	
7	16	11	9	13	10	17	13	12	10	14	12	20	13	16	19	9	12	29	53	14	30	11	13	24	8	15	17	7	16	8	12	5	11	9	7	9	14	7	7	5	15	5	10	15	14	24	15	18	20	5	11	14	9	11	22	10	10	3	8	4	11	19	8	8	3	16	6	18	5	15	15	26	16	11	8	15	21	17	13	6	10	22	12	14	8	5	
381	1254	657	815	698	822	852	837	860	796	950	843	858	908	810	1045	971	855	1042	1060	876	1079	1185	811	873	937	899	823	932	922	720	1051	852	861	809	796	868	895	897	887	907	996	671	1137	888	784	914	877	1018	946	917	882	898	941	1291	908	834	915	874	872	836	1010	903	769	1001	374	898	462	830	754	823	897	1111	1065	804	1012	1052	834	823	952	944	886	1047	870	962	536	254	
0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	12	9	5	5	5	7	6	7	8	9	3	10	6	8	12	7	7	5	10	12	14	13	10	10	13	11	2	14	9	4	9	11	10	5	4	4	4	10	6	8	5	3	5	6	7	11	7	2	9	7	14	4	10	18	11	7	6	11	7	11	14	6	11	9	0	6	4	5	4	13	5	10	6	8	11	6	5	8	6	6	6	4	10	14	3	0	
57	138	98	112	101	118	111	107	119	122	138	120	140	134	92	136	149	100	188	127	99	111	135	93	119	117	117	106	121	145	108	133	98	111	96	102	130	110	117	103	131	121	79	140	118	94	128	124	167	137	108	128	127	129	133	109	105	112	117	111	117	132	132	118	125	27	139	61	106	120	108	129	164	151	94	113	139	119	103	124	103	108	138	126	130	52	22	
33	74	37	64	49	44	34	55	41	42	54	50	53	61	37	71	67	64	55	53	47	64	51	67	44	47	66	31	47	46	33	46	44	35	59	43	50	54	37	68	37	61	34	54	47	29	43	36	45	39	48	44	52	55	63	49	51	43	50	29	30	46	55	33	59	15	65	34	46	22	32	37	66	55	41	53	59	47	50	58	56	37	61	46	51	35	7	
256	951	475	581	496	581	636	600	618	549	690	608	587	643	629	751	684	621	705	793	653	805	922	575	633	693	632	616	675	641	516	768	639	659	609	606	612	664	677	646	666	756	515	833	651	600	658	618	717	668	694	623	656	685	989	691	608	703	635	641	591	728	652	547	738	314	623	336	599	529	585	616	803	784	605	763	786	603	617	712	714	682	755	606	670	418	213	
10	34	17	20	18	33	32	25	28	31	29	24	22	19	17	30	23	25	28	27	21	28	24	32	30	34	27	22	27	36	24	33	23	18	12	20	29	18	29	23	32	19	17	52	27	19	36	27	38	34	27	25	24	21	41	27	25	21	25	37	40	32	25	22	33	7	32	11	28	33	35	47	25	22	17	25	32	24	18	22	33	26	42	40	44	18	5	
3	7	3	8	4	7	5	9	9	11	4	7	4	10	9	7	15	5	6	7	6	9	7	5	5	9	8	5	6	6	2	9	10	3	6	3	5	5	3	6	1	8	2	5	6	3	12	6	5	11	6	6	11	12	7	3	8	3	10	2	5	5	3	7	7	3	4	5	10	5	8	4	8	8	6	8	1	4	3	6	5	7	8	8	7	1	3	
