"УИК №4201"	"УИК №4202"	"УИК №4203"	"УИК №4204"	"УИК №4205"	"УИК №4206"	"УИК №4207"	"УИК №4208"	"УИК №4209"	"УИК №4210"	"УИК №4211"	"УИК №4212"	"УИК №4213"	"УИК №4214"	"УИК №4215"	"УИК №4216"	"УИК №4217"	"УИК №4218"	"УИК №4219"	"УИК №4220"	"УИК №4221"	"УИК №4222"	"УИК №4223"	"УИК №4224"	"УИК №4225"	
1189	1137	1083	416	1355	871	757	945	188	822	349	179	1167	227	114	113	192	469	857	378	232	128	653	166	138	
960	950	940	350	1160	730	630	800	160	710	300	160	990	180	90	90	210	410	720	330	200	110	560	160	120	
0	0	0	0	40	24	6	0	0	22	38	0	0	0	0	0	0	21	30	0	11	0	0	0	0	
624	634	605	256	589	336	320	469	122	285	178	82	610	134	40	50	106	264	297	196	64	37	366	99	94	
39	27	40	11	58	40	78	82	12	211	14	30	45	11	40	8	10	53	107	15	61	23	160	15	8	
297	289	295	83	473	330	226	249	26	192	70	48	335	35	10	32	94	72	286	119	64	50	34	46	18	
39	27	40	11	98	64	84	82	12	233	52	30	45	11	40	8	10	74	137	15	72	23	160	15	8	
624	634	605	256	589	336	320	469	122	285	178	82	609	134	40	50	106	264	297	196	64	37	366	99	94	
11	6	11	7	15	4	3	4	1	3	1	0	8	3	0	1	2	2	1	1	0	1	2	1	0	
652	655	634	260	672	396	401	547	133	515	229	112	646	142	80	57	114	336	433	210	136	59	524	113	102	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	1	7	3	7	1	1	1	0	3	1	0	6	0	0	0	0	5	0	2	1	0	4	1	1	
63	71	56	30	56	33	37	40	5	17	24	15	68	13	2	6	2	28	25	3	7	0	40	8	6	
67	59	57	22	50	30	39	32	11	41	14	9	57	23	7	3	7	43	22	14	10	4	40	7	4	
507	497	494	198	545	324	313	466	113	448	185	86	491	100	70	48	104	253	375	188	118	52	427	92	90	
2	8	6	4	7	2	5	2	1	4	3	0	7	3	0	0	0	2	1	1	0	1	4	4	0	
3	10	8	2	2	2	2	4	2	2	0	2	4	1	0	0	1	2	4	1	0	1	4	1	1	
2	5	2	0	4	4	3	0	0	0	0	0	8	2	0	0	0	3	1	1	0	1	3	0	0	
5	4	4	1	1	0	1	2	1	0	2	0	5	0	1	0	0	0	5	0	0	0	2	0	0	
