"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	
2031	473	459	536	483	790	114	94	782	683	545	496	609	637	268	382	2105	
2060	517	490	628	563	821	135	100	870	742	641	550	640	668	384	391	2099	
0	44	37	41	43	33	18	15	77	52	51	46	67	0	26	0	0	
1155	316	333	415	334	517	60	64	537	490	387	307	404	406	205	252	1284	
64	18	23	30	18	40	3	4	56	50	40	20	33	83	37	28	76	
841	139	97	142	168	231	54	17	200	150	163	177	136	179	116	111	739	
64	62	60	71	61	73	21	19	133	102	91	66	100	83	63	28	76	
1155	316	333	415	334	517	60	64	537	490	387	307	404	406	205	252	1284	
6	5	0	4	1	16	1	0	3	1	3	4	0	6	0	4	17	
1213	373	393	482	394	574	80	83	667	591	475	369	504	483	268	276	1343	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	0	1	1	0	7	0	0	4	3	0	1	0	0	3	1	2	
252	66	51	52	73	104	15	2	111	129	117	61	103	41	43	29	184	
57	15	14	13	18	28	1	2	12	12	10	11	27	41	16	37	201	
846	273	320	410	290	389	63	77	518	428	341	289	353	399	197	205	922	
32	12	4	4	10	17	1	1	15	11	3	6	12	0	4	1	14	
13	3	0	1	1	9	0	1	1	0	1	0	2	2	3	0	11	
6	1	2	0	0	5	0	0	4	3	3	0	4	0	0	3	4	
4	3	1	1	2	15	0	0	2	5	0	1	3	0	2	0	5	
